antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",frozenset({'CWE-532'}),0.8208955223880597,1.0,1.008466603951082,0.006891846736466922,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.8180970149253731,1.0,1.008466603951082,0.0068683518044108105,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8180970149253731,0.9988610478359908,1.0149564391281347,0.012055510692804527,13.923507462685857,2,2,4
"frozenset({'CWE-532', 'CWE-330', 'CWE-89'})",frozenset({'CWE-327'}),0.8180970149253731,0.9988610478359908,1.011122798187141,0.00899942916016927,10.647388059700978,3,1,4
"frozenset({'CWE-312', 'CWE-330'})","frozenset({'CWE-532', 'CWE-327'})",0.8208955223880597,0.997732426303855,1.0138096312774716,0.011181847293383895,6.9934701492539295,2,2,4
"frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",frozenset({'CWE-327'}),0.8208955223880597,0.997732426303855,1.0099803219997474,0.008111842838048666,5.347947761194195,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-327'})",frozenset({'CWE-330'}),0.8180970149253731,0.9532608695652174,1.0535006723442402,0.04154600133660058,2.0357514751822285,3,1,4
"frozenset({'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8180970149253731,0.9532608695652174,1.0535006723442402,0.04154600133660058,2.0357514751822285,2,2,4
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8180970149253731,0.9522258414766558,1.0545310971724948,0.04230480062374686,2.0306987788331052,1,3,4
"frozenset({'CWE-532', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.8180970149253731,0.9522258414766558,1.0545310971724948,0.04230480062374686,2.0306987788331052,2,2,4
"frozenset({'CWE-330', 'CWE-327'})","frozenset({'CWE-532', 'CWE-89'})",0.8180970149253731,0.90599173553719,1.0545310971724948,0.04230480062374686,1.4983598491061165,2,2,4
"frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",frozenset({'CWE-89'}),0.8180970149253731,0.90599173553719,1.0545310971724948,0.04230480062374686,1.4983598491061165,3,1,4
frozenset({'CWE-330'}),"frozenset({'CWE-532', 'CWE-89', 'CWE-327'})",0.8180970149253731,0.9041237113402062,1.0535006723442402,0.04154600133660058,1.4788958433638257,1,3,4
"frozenset({'CWE-532', 'CWE-330'})","frozenset({'CWE-89', 'CWE-327'})",0.8180970149253731,0.9041237113402062,1.0535006723442402,0.04154600133660058,1.4788958433638257,2,2,4
"frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",frozenset({'CWE-330'}),0.8208955223880597,0.9322033898305085,1.0302289009260879,0.024086656270884466,1.4034514925373152,3,1,4
"frozenset({'CWE-312', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330'})",0.8208955223880597,0.9312169312169313,1.0291387116129385,0.023242579082200954,1.3833237657864539,2,2,4
"frozenset({'CWE-312', 'CWE-532'})","frozenset({'CWE-330', 'CWE-327'})",0.8208955223880597,0.9292502639915523,1.0290870692137852,0.02320255067943855,1.371240810871018,2,2,4
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8208955223880597,0.9282700421940928,1.0280015343306481,0.02236021385609266,1.3525021949078129,1,3,4
frozenset({'CWE-330'}),"frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8208955223880597,0.9072164948453609,1.0302289009260879,0.024086656270884466,1.2868988391376468,1,3,4
"frozenset({'CWE-330', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8208955223880597,0.9090909090909091,1.029087069213785,0.02320255067943855,1.2826492537313425,2,2,4
"frozenset({'CWE-532', 'CWE-330'})","frozenset({'CWE-312', 'CWE-327'})",0.8208955223880597,0.9072164948453609,1.0291387116129385,0.023242579082200954,1.2768449419568837,2,2,4
"frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",frozenset({'CWE-312'}),0.8208955223880597,0.9090909090909091,1.0280015343306481,0.02236021385609266,1.2723880597014916,3,1,4
"frozenset({'CWE-532', 'CWE-327'})","frozenset({'CWE-330', 'CWE-89'})",0.8180970149253731,0.8312796208530805,1.0149564391281347,0.012055510692804527,1.0726039745094746,2,2,4
"frozenset({'CWE-532', 'CWE-327'})","frozenset({'CWE-312', 'CWE-330'})",0.8208955223880597,0.8341232227488151,1.0138096312774716,0.011181847293383895,1.0684968017057568,2,2,4
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-330', 'CWE-89'})",0.8180970149253731,0.8281397544853636,1.011122798187141,0.00899942916016927,1.0530076267016568,1,3,4
frozenset({'CWE-327'}),"frozenset({'CWE-312', 'CWE-532', 'CWE-330'})",0.8208955223880597,0.8309726156751653,1.0099803219997474,0.008111842838048666,1.0485804219127832,1,3,4
frozenset({'CWE-532'}),"frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.8208955223880597,0.8278457196613359,1.008466603951082,0.006891846736466922,1.040371910937118,1,3,4
frozenset({'CWE-532'}),"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",0.8180970149253731,0.8250235183443085,1.008466603951082,0.0068683518044108105,1.0395853394318728,1,3,4
