antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-330', 'CWE-312', 'CWE-327'})","frozenset({'CWE-89', 'CWE-200'})",0.6511194029850746,0.7931818181818182,1.1382743093586467,0.07909612385832032,1.4658848614072495,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-200'})","frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",0.6511194029850746,0.9344042838018741,1.1382743093586467,0.07909612385832032,2.7304294852269244,3,3,6
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312', 'CWE-330', 'CWE-327'})",0.6511194029850746,0.9344042838018741,1.1382743093586467,0.07909612385832032,2.7304294852269244,2,4,6
"frozenset({'CWE-330', 'CWE-312', 'CWE-327'})","frozenset({'CWE-532', 'CWE-89', 'CWE-200'})",0.6511194029850746,0.7931818181818182,1.1382743093586467,0.07909612385832032,1.4658848614072495,3,3,6
"frozenset({'CWE-532', 'CWE-312', 'CWE-330', 'CWE-327'})","frozenset({'CWE-89', 'CWE-200'})",0.6511194029850746,0.7931818181818182,1.1382743093586467,0.07909612385832032,1.4658848614072495,4,2,6
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",0.6511194029850746,0.9344042838018741,1.1382743093586467,0.07909612385832032,2.7304294852269244,2,3,5
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",0.6082089552238806,0.9340974212034384,1.1379004949205522,0.07370795277344622,2.7177157689811815,3,3,6
"frozenset({'CWE-532', 'CWE-327', 'CWE-200', 'CWE-276'})","frozenset({'CWE-330', 'CWE-312'})",0.6082089552238806,0.9354375896700144,1.136949088578521,0.07326067888171095,2.7452321724709834,4,2,6
"frozenset({'CWE-532', 'CWE-312', 'CWE-330'})","frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",0.6511194029850746,0.7913832199546486,1.1356931884757473,0.0777960709512141,1.453246674237508,3,3,6
"frozenset({'CWE-532', 'CWE-312', 'CWE-330'})","frozenset({'CWE-89', 'CWE-200'})",0.6511194029850746,0.7913832199546486,1.1356931884757473,0.0777960709512141,1.453246674237508,3,2,5
