antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-312', 'CWE-532'})",frozenset({'CWE-327'}),0.9736842105263158,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-330'})",frozenset({'CWE-532'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-276'}),"frozenset({'CWE-532', 'CWE-327'})",0.8552631578947368,1.0,1.0,0.0,inf,1,2,3
"frozenset({'CWE-276', 'CWE-327'})",frozenset({'CWE-532'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-532', 'CWE-276'})",frozenset({'CWE-327'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-276'}),"frozenset({'CWE-312', 'CWE-532'})",0.8552631578947368,1.0,1.027027027027027,0.022506925207756212,inf,1,2,3
"frozenset({'CWE-532', 'CWE-276'})",frozenset({'CWE-312'}),0.8552631578947368,1.0,1.027027027027027,0.022506925207756212,inf,2,1,3
"frozenset({'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-276'}),"frozenset({'CWE-312', 'CWE-327'})",0.8552631578947368,1.0,1.027027027027027,0.022506925207756212,inf,1,2,3
"frozenset({'CWE-276', 'CWE-327'})",frozenset({'CWE-312'}),0.8552631578947368,1.0,1.027027027027027,0.022506925207756212,inf,2,1,3
"frozenset({'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-89'})",frozenset({'CWE-532'}),0.8289473684210527,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.9736842105263158,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-327'})",0.8552631578947368,1.0,1.0,0.0,inf,1,2,3
"frozenset({'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-532', 'CWE-89'})",frozenset({'CWE-327'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-89'})",frozenset({'CWE-327'}),0.8289473684210527,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-532', 'CWE-330'})",frozenset({'CWE-327'}),0.881578947368421,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-327'})",0.9736842105263158,1.0,1.0,0.0,inf,1,2,3
"frozenset({'CWE-330', 'CWE-327'})",frozenset({'CWE-532'}),0.881578947368421,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-330'})",frozenset({'CWE-327'}),0.8552631578947368,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-330'}),"frozenset({'CWE-532', 'CWE-327'})",0.881578947368421,1.0,1.0,0.0,inf,1,2,3
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-276'})",0.8552631578947368,0.8783783783783784,1.027027027027027,0.022506925207756212,1.190058479532164,1,2,3
"frozenset({'CWE-312', 'CWE-532'})",frozenset({'CWE-276'}),0.8552631578947368,0.8783783783783784,1.027027027027027,0.022506925207756212,1.190058479532164,2,1,3
frozenset({'CWE-312'}),"frozenset({'CWE-276', 'CWE-327'})",0.8552631578947368,0.8783783783783784,1.027027027027027,0.022506925207756212,1.190058479532164,1,2,3
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-276'}),0.8552631578947368,0.8783783783783784,1.027027027027027,0.022506925207756212,1.190058479532164,2,1,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-276'}),0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,2,1,3
frozenset({'CWE-532'}),"frozenset({'CWE-312', 'CWE-327'})",0.9736842105263158,0.9736842105263158,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-312', 'CWE-532'})",0.9736842105263158,0.9736842105263158,1.0,0.0,1.0,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-312', 'CWE-276'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-312', 'CWE-89'})",0.8289473684210527,0.8289473684210527,1.0,0.0,1.0,1,2,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-330'}),0.881578947368421,0.881578947368421,1.0,0.0,1.0,2,1,3
frozenset({'CWE-532'}),"frozenset({'CWE-276', 'CWE-327'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-312', 'CWE-276'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-312'}),0.9736842105263158,0.9736842105263158,1.0,0.0,1.0,2,1,3
frozenset({'CWE-532'}),"frozenset({'CWE-330', 'CWE-327'})",0.881578947368421,0.881578947368421,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-312', 'CWE-330'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-276'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-89'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-330'})",0.881578947368421,0.881578947368421,1.0,0.0,1.0,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-312', 'CWE-330'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-312', 'CWE-89'})",0.8289473684210527,0.8289473684210527,1.0,0.0,1.0,1,2,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-89'}),0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,2,1,3
frozenset({'CWE-532'}),"frozenset({'CWE-89', 'CWE-327'})",0.8552631578947368,0.8552631578947368,1.0,0.0,1.0,1,2,3
"frozenset({'CWE-312', 'CWE-532'})",frozenset({'CWE-330'}),0.8552631578947368,0.8783783783783784,0.9963695038321905,-0.0031163434903046516,0.9736842105263163,2,1,3
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-330'})",0.8552631578947368,0.8783783783783784,0.9963695038321905,-0.0031163434903046516,0.9736842105263163,1,2,3
frozenset({'CWE-312'}),"frozenset({'CWE-330', 'CWE-327'})",0.8552631578947368,0.8783783783783784,0.9963695038321905,-0.0031163434903046516,0.9736842105263163,1,2,3
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-330'}),0.8552631578947368,0.8783783783783784,0.9963695038321905,-0.0031163434903046516,0.9736842105263163,2,1,3
