antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-532', 'CWE-330'})",frozenset({'CWE-327'}),0.9036144578313253,1.0,1.0246913580246912,0.021773842357381334,inf,2,1,3
"frozenset({'CWE-532', 'CWE-89'})",frozenset({'CWE-327'}),0.8313253012048193,1.0,1.0246913580246912,0.020031934968790743,inf,2,1,3
"frozenset({'CWE-330', 'CWE-89'})",frozenset({'CWE-532'}),0.8072289156626506,1.0,1.0246913580246912,0.019451299172593917,inf,2,1,3
"frozenset({'CWE-330', 'CWE-89'})",frozenset({'CWE-327'}),0.8072289156626506,1.0,1.0246913580246912,0.019451299172593917,inf,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-327'})",0.8313253012048193,1.0,1.0246913580246912,0.020031934968790743,inf,1,2,3
"frozenset({'CWE-200', 'CWE-532'})",frozenset({'CWE-327'}),0.8072289156626506,1.0,1.0246913580246912,0.019451299172593917,inf,2,1,3
"frozenset({'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.8313253012048193,1.0,1.0246913580246912,0.020031934968790743,inf,2,1,3
"frozenset({'CWE-200', 'CWE-327'})",frozenset({'CWE-532'}),0.8072289156626506,1.0,1.0246913580246912,0.019451299172593917,inf,2,1,3
frozenset({'CWE-330'}),"frozenset({'CWE-532', 'CWE-327'})",0.9036144578313253,1.0,1.0246913580246912,0.021773842357381334,inf,1,2,3
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-327'})",0.8072289156626506,1.0,1.0246913580246912,0.019451299172593917,inf,1,2,3
"frozenset({'CWE-330', 'CWE-327'})",frozenset({'CWE-532'}),0.9036144578313253,1.0,1.0246913580246912,0.021773842357381334,inf,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-330'})",0.8072289156626506,0.9710144927536233,1.0745893719806765,0.056031354332994665,3.325301204819287,1,2,3
"frozenset({'CWE-89', 'CWE-327'})",frozenset({'CWE-330'}),0.8072289156626506,0.9710144927536233,1.0745893719806765,0.056031354332994665,3.325301204819287,2,1,3
"frozenset({'CWE-532', 'CWE-89'})",frozenset({'CWE-330'}),0.8072289156626506,0.9710144927536233,1.0745893719806765,0.056031354332994665,3.325301204819287,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-330', 'CWE-327'})",0.8072289156626506,0.9710144927536233,1.0745893719806765,0.056031354332994665,3.325301204819287,1,2,3
"frozenset({'CWE-532', 'CWE-330'})",frozenset({'CWE-89'}),0.8072289156626506,0.8933333333333333,1.0745893719806763,0.056031354332994665,1.581325301204819,2,1,3
frozenset({'CWE-330'}),"frozenset({'CWE-532', 'CWE-89'})",0.8072289156626506,0.8933333333333333,1.0745893719806763,0.056031354332994665,1.581325301204819,1,2,3
frozenset({'CWE-330'}),"frozenset({'CWE-89', 'CWE-327'})",0.8072289156626506,0.8933333333333333,1.0745893719806763,0.056031354332994665,1.581325301204819,1,2,3
"frozenset({'CWE-330', 'CWE-327'})",frozenset({'CWE-89'}),0.8072289156626506,0.8933333333333333,1.0745893719806763,0.056031354332994665,1.581325301204819,2,1,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-330'}),0.9036144578313253,0.9259259259259259,1.0246913580246912,0.021773842357381334,1.3012048192771082,2,1,3
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-330'})",0.9036144578313253,0.9259259259259259,1.0246913580246912,0.021773842357381334,1.3012048192771082,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-330', 'CWE-327'})",0.9036144578313253,0.9259259259259259,1.0246913580246912,0.021773842357381334,1.3012048192771082,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-532', 'CWE-89'})",0.8313253012048193,0.8518518518518519,1.0246913580246912,0.020031934968790743,1.1385542168674698,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-89', 'CWE-327'})",0.8313253012048193,0.8518518518518519,1.0246913580246912,0.020031934968790743,1.1385542168674698,1,2,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-89'}),0.8313253012048193,0.8518518518518519,1.0246913580246912,0.020031934968790743,1.1385542168674698,2,1,3
frozenset({'CWE-327'}),"frozenset({'CWE-330', 'CWE-89'})",0.8072289156626506,0.8271604938271605,1.0246913580246912,0.019451299172593917,1.1153184165232355,1,2,3
frozenset({'CWE-532'}),"frozenset({'CWE-330', 'CWE-89'})",0.8072289156626506,0.8271604938271605,1.0246913580246912,0.019451299172593917,1.1153184165232355,1,2,3
"frozenset({'CWE-532', 'CWE-327'})",frozenset({'CWE-200'}),0.8072289156626506,0.8271604938271605,1.0246913580246912,0.019451299172593917,1.1153184165232355,2,1,3
frozenset({'CWE-532'}),"frozenset({'CWE-200', 'CWE-327'})",0.8072289156626506,0.8271604938271605,1.0246913580246912,0.019451299172593917,1.1153184165232355,1,2,3
frozenset({'CWE-327'}),"frozenset({'CWE-200', 'CWE-532'})",0.8072289156626506,0.8271604938271605,1.0246913580246912,0.019451299172593917,1.1153184165232355,1,2,3
