antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-312', 'CWE-327', 'CWE-532', 'CWE-89'})",frozenset({'CWE-330'}),0.6410256410256411,0.925925925925926,1.1284722222222223,0.07297830374753456,2.4230769230769273,4,1,5
"frozenset({'CWE-312', 'CWE-327', 'CWE-89'})","frozenset({'CWE-330', 'CWE-532'})",0.6410256410256411,0.925925925925926,1.1284722222222223,0.07297830374753456,2.4230769230769273,3,2,5
"frozenset({'CWE-330', 'CWE-532'})","frozenset({'CWE-312', 'CWE-327', 'CWE-89'})",0.6410256410256411,0.7812500000000001,1.1284722222222223,0.07297830374753456,1.4065934065934074,2,3,5
frozenset({'CWE-330'}),"frozenset({'CWE-312', 'CWE-327', 'CWE-532', 'CWE-89'})",0.6410256410256411,0.7812500000000001,1.1284722222222223,0.07297830374753456,1.4065934065934074,1,4,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-532'})","frozenset({'CWE-312', 'CWE-89'})",0.6410256410256411,0.7936507936507937,1.1255411255411256,0.07149901380670609,1.428994082840237,3,2,5
"frozenset({'CWE-330', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532', 'CWE-89'})",0.6410256410256411,0.7936507936507937,1.1255411255411256,0.07149901380670609,1.428994082840237,2,3,5
"frozenset({'CWE-312', 'CWE-532', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.6410256410256411,0.9090909090909091,1.1255411255411254,0.07149901380670609,2.1153846153846145,3,2,5
"frozenset({'CWE-312', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327', 'CWE-532'})",0.6410256410256411,0.9090909090909091,1.1255411255411254,0.07149901380670609,2.1153846153846145,2,3,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-532', 'CWE-89'})",frozenset({'CWE-312'}),0.6410256410256411,0.8771929824561405,1.1216566005176878,0.06952662721893499,1.7747252747252773,4,1,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532'})",0.6410256410256411,0.8771929824561405,1.1216566005176878,0.06952662721893499,1.7747252747252773,3,2,5
"frozenset({'CWE-312', 'CWE-532'})","frozenset({'CWE-330', 'CWE-327', 'CWE-89'})",0.6410256410256411,0.819672131147541,1.1216566005176878,0.06952662721893499,1.4930069930069934,2,3,5
frozenset({'CWE-312'}),"frozenset({'CWE-330', 'CWE-327', 'CWE-532', 'CWE-89'})",0.6410256410256411,0.819672131147541,1.1216566005176878,0.06952662721893499,1.4930069930069934,1,4,5
"frozenset({'CWE-330', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.6410256410256411,0.8620689655172414,1.1206896551724137,0.06903353057199213,1.6730769230769236,3,2,5
"frozenset({'CWE-312', 'CWE-327', 'CWE-532'})","frozenset({'CWE-330', 'CWE-89'})",0.6410256410256411,0.8333333333333334,1.1206896551724137,0.06903353057199213,1.5384615384615388,3,2,5
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327', 'CWE-532'})",0.6410256410256411,0.8620689655172414,1.1206896551724137,0.06903353057199213,1.6730769230769236,2,3,5
"frozenset({'CWE-312', 'CWE-327'})","frozenset({'CWE-330', 'CWE-532', 'CWE-89'})",0.6410256410256411,0.8333333333333334,1.1206896551724137,0.06903353057199213,1.5384615384615388,2,3,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-532'})",frozenset({'CWE-89'}),0.6410256410256411,0.925925925925926,1.0942760942760945,0.05522682445759375,2.07692307692308,4,1,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-327'})","frozenset({'CWE-532', 'CWE-89'})",0.6410256410256411,0.925925925925926,1.0942760942760945,0.05522682445759375,2.07692307692308,3,2,5
"frozenset({'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.6410256410256411,0.7575757575757577,1.0942760942760945,0.05522682445759375,1.2692307692307698,2,3,5
frozenset({'CWE-89'}),"frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-532'})",0.6410256410256411,0.7575757575757577,1.0942760942760945,0.05522682445759375,1.2692307692307698,1,4,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-532'})","frozenset({'CWE-327', 'CWE-89'})",0.6410256410256411,0.9090909090909091,1.0909090909090908,0.05341880341880345,1.8333333333333324,3,2,5
"frozenset({'CWE-327', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330'})",0.6410256410256411,0.7692307692307693,1.0909090909090908,0.05341880341880345,1.277777777777778,3,2,5
"frozenset({'CWE-312', 'CWE-330'})","frozenset({'CWE-327', 'CWE-532', 'CWE-89'})",0.6410256410256411,0.9090909090909091,1.0909090909090908,0.05341880341880345,1.8333333333333324,2,3,5
"frozenset({'CWE-327', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-532'})",0.6410256410256411,0.7692307692307693,1.0909090909090908,0.05341880341880345,1.277777777777778,2,3,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-89'})",frozenset({'CWE-532'}),0.6410256410256411,1.0,1.0129870129870129,0.008218277449046685,inf,4,1,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-532', 'CWE-89'})",frozenset({'CWE-327'}),0.6410256410256411,0.9803921568627452,1.0061919504643964,0.0039447731755424265,1.3076923076923133,4,1,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-89'})","frozenset({'CWE-327', 'CWE-532'})",0.6410256410256411,0.9803921568627452,1.0061919504643964,0.0039447731755424265,1.3076923076923133,3,2,5
"frozenset({'CWE-330', 'CWE-276', 'CWE-532'})","frozenset({'CWE-327', 'CWE-89'})",0.6153846153846154,0.9230769230769231,1.1076923076923078,0.05982905982905984,2.166666666666668,3,2,5
"frozenset({'CWE-330', 'CWE-276'})","frozenset({'CWE-327', 'CWE-532', 'CWE-89'})",0.6153846153846154,0.9230769230769231,1.1076923076923078,0.05982905982905984,2.166666666666668,2,3,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-532'})","frozenset({'CWE-276', 'CWE-89'})",0.6153846153846154,0.761904761904762,1.1005291005291007,0.056213017751479355,1.2923076923076928,3,2,5
"frozenset({'CWE-276', 'CWE-532', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327'})",0.6153846153846154,0.888888888888889,1.1005291005291007,0.056213017751479355,1.7307692307692315,3,2,5
"frozenset({'CWE-330', 'CWE-327'})","frozenset({'CWE-276', 'CWE-532', 'CWE-89'})",0.6153846153846154,0.761904761904762,1.1005291005291007,0.056213017751479355,1.2923076923076928,2,3,5
"frozenset({'CWE-276', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327', 'CWE-532'})",0.6153846153846154,0.888888888888889,1.1005291005291007,0.056213017751479355,1.7307692307692315,2,3,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-532', 'CWE-89'})",frozenset({'CWE-276'}),0.6153846153846154,0.8421052631578948,1.0947368421052632,0.053254437869822535,1.461538461538462,4,1,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-89'})","frozenset({'CWE-276', 'CWE-532'})",0.6153846153846154,0.8421052631578948,1.0947368421052632,0.053254437869822535,1.461538461538462,3,2,5
"frozenset({'CWE-276', 'CWE-532'})","frozenset({'CWE-330', 'CWE-327', 'CWE-89'})",0.6153846153846154,0.8,1.0947368421052632,0.053254437869822535,1.3461538461538467,2,3,5
