antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-312', 'CWE-330', 'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.8488372093023255,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-89'})",frozenset({'CWE-327'}),0.8488372093023255,1.0,1.011764705882353,0.009870200108166638,inf,4,1,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8488372093023255,1.0,1.011764705882353,0.009870200108166638,inf,3,2,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-89', 'CWE-327'})",frozenset({'CWE-312'}),0.8488372093023255,0.9864864864864865,1.0346077785102175,0.028393726338561298,3.441860465116284,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})","frozenset({'CWE-312', 'CWE-532'})",0.8488372093023255,0.9864864864864865,1.0346077785102175,0.028393726338561298,3.441860465116284,3,2,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.8488372093023255,0.9864864864864865,1.0346077785102175,0.028393726338561298,3.441860465116284,3,2,5
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-532', 'CWE-327'})",0.8488372093023255,0.9864864864864865,1.0346077785102175,0.028393726338561298,3.441860465116284,2,3,5
"frozenset({'CWE-312', 'CWE-532', 'CWE-330', 'CWE-327'})",frozenset({'CWE-89'}),0.8488372093023255,0.9605263157894736,1.0590418353576248,0.047322877230935645,2.3565891472868157,4,1,5
"frozenset({'CWE-312', 'CWE-330', 'CWE-327'})","frozenset({'CWE-532', 'CWE-89'})",0.8488372093023255,0.9605263157894736,1.0590418353576248,0.047322877230935645,2.3565891472868157,3,2,5
"frozenset({'CWE-312', 'CWE-532', 'CWE-330'})","frozenset({'CWE-89', 'CWE-327'})",0.8488372093023255,0.9605263157894736,1.0590418353576248,0.047322877230935645,2.3565891472868157,3,2,5
