antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-330', 'CWE-312', 'CWE-532'})",frozenset({'CWE-327'}),0.8941176470588236,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.8,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-312', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8352941176470589,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-532', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.6235294117647059,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-749', 'CWE-327'})",frozenset({'CWE-312'}),0.6235294117647059,1.0,1.0625,0.03667820069204153,inf,3,1,4
"frozenset({'CWE-749', 'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.6235294117647059,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-749'})","frozenset({'CWE-312', 'CWE-327'})",0.6235294117647059,1.0,1.0625,0.03667820069204153,inf,2,2,4
"frozenset({'CWE-312', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8352941176470589,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-312', 'CWE-749'})","frozenset({'CWE-532', 'CWE-327'})",0.6235294117647059,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-532', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.8352941176470589,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-749', 'CWE-327'})","frozenset({'CWE-532', 'CWE-312'})",0.6235294117647059,1.0,1.0625,0.03667820069204153,inf,2,2,4
frozenset({'CWE-749'}),"frozenset({'CWE-532', 'CWE-312', 'CWE-327'})",0.6235294117647059,1.0,1.0625,0.03667820069204153,inf,1,3,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.611764705882353,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-749', 'CWE-327'})",frozenset({'CWE-312'}),0.611764705882353,1.0,1.0625,0.03598615916955017,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})",frozenset({'CWE-532'}),0.788235294117647,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-749'})","frozenset({'CWE-312', 'CWE-327'})",0.611764705882353,1.0,1.0625,0.03598615916955017,inf,2,2,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.8,1.0,1.0625,0.04705882352941182,inf,2,2,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-532'}),0.8,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-200'})",frozenset({'CWE-312'}),0.8,1.0,1.0625,0.04705882352941182,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.8941176470588236,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.8,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.6,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.8,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})",frozenset({'CWE-532'}),0.8,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})",frozenset({'CWE-327'}),0.8705882352941177,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})",frozenset({'CWE-327'}),0.8,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.8,1.0,1.0625,0.04705882352941182,inf,3,1,4
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-312', 'CWE-327'})",0.6,1.0,1.0625,0.03529411764705881,inf,2,2,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.8,1.0,1.0625,0.04705882352941182,inf,2,2,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.7294117647058823,1.0,1.0625,0.04290657439446366,inf,2,2,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.7294117647058823,1.0,1.0625,0.04290657439446366,inf,2,2,4
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-312'}),0.7294117647058823,1.0,1.0625,0.04290657439446366,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-312'}),0.7176470588235294,1.0,1.0625,0.0422145328719723,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.8117647058823529,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7176470588235294,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.8117647058823529,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7294117647058823,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7294117647058823,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-532'}),0.7294117647058823,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7294117647058823,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.7176470588235294,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})",frozenset({'CWE-312'}),0.788235294117647,1.0,1.0625,0.04636678200692046,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-312'}),0.7176470588235294,1.0,1.0625,0.0422145328719723,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8235294117647058,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-276'})",frozenset({'CWE-327'}),0.8235294117647058,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7176470588235294,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8235294117647058,1.0,1.0,0.0,inf,3,1,4
