antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-330', 'CWE-312'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,2,2,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-749'})","frozenset({'CWE-330', 'CWE-312'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,3,2,5
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-532', 'CWE-312', 'CWE-330', 'CWE-327'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,2,4,6
"frozenset({'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-330', 'CWE-312'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-749', 'CWE-327'})","frozenset({'CWE-330', 'CWE-312'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,4,2,6
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-532', 'CWE-312', 'CWE-330'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,2,3,5
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,2,3,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-749'})","frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,3,3,6
"frozenset({'CWE-749', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-312', 'CWE-330'})",0.6,1.0,1.118421052631579,0.06352941176470583,inf,3,3,6
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})","frozenset({'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,4,2,6
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89', 'CWE-312'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,2,3,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,3,2,5
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,2,4,6
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})","frozenset({'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,4,2,6
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,3,3,6
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89', 'CWE-312'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,3,3,6
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,2,4,6
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,3,3,6
"frozenset({'CWE-89', 'CWE-327', 'CWE-532', 'CWE-330', 'CWE-312'})","frozenset({'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,5,2,7
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})","frozenset({'CWE-532', 'CWE-276', 'CWE-200'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,4,3,7
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})","frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,4,3,7
"frozenset({'CWE-532', 'CWE-327', 'CWE-200', 'CWE-276'})","frozenset({'CWE-330', 'CWE-89', 'CWE-312'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,4,3,7
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-327', 'CWE-200', 'CWE-276'})",0.7058823529411765,0.8108108108108109,1.1115954664341763,0.0708650519031142,1.4302521008403366,3,4,7
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})","frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,3,4,7
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})",0.7058823529411765,0.9677419354838711,1.1115954664341763,0.0708650519031142,4.01176470588237,3,4,7
