antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'CWE-89'}),frozenset({'CWE-327'}),0.8795180722891566,1.0,1.0246913580246912,0.021193206561184508,inf,1,1,2
frozenset({'CWE-312'}),frozenset({'CWE-532'}),0.9397590361445783,1.0,1.0,0.0,inf,1,1,2
frozenset({'CWE-330'}),frozenset({'CWE-327'}),0.891566265060241,1.0,1.0246913580246912,0.02148352445928292,inf,1,1,2
frozenset({'CWE-89'}),frozenset({'CWE-532'}),0.8795180722891566,1.0,1.0,0.0,inf,1,1,2
frozenset({'CWE-330'}),frozenset({'CWE-532'}),0.891566265060241,1.0,1.0,0.0,inf,1,1,2
frozenset({'CWE-327'}),frozenset({'CWE-532'}),0.9759036144578314,1.0,1.0,0.0,inf,1,1,2
frozenset({'CWE-89'}),frozenset({'CWE-312'}),0.8674698795180723,0.9863013698630138,1.0495258166491044,0.04093482363187695,4.397590361445799,1,1,2
frozenset({'CWE-330'}),frozenset({'CWE-312'}),0.8674698795180723,0.972972972972973,1.0353430353430353,0.029612425606038606,2.2289156626506057,1,1,2
frozenset({'CWE-89'}),frozenset({'CWE-330'}),0.8313253012048193,0.9452054794520549,1.060162902628656,0.04717665844099295,1.9789156626506068,1,1,2
frozenset({'CWE-312'}),frozenset({'CWE-327'}),0.927710843373494,0.9871794871794871,1.011554289332067,0.010596603280592198,1.8795180722891445,1,1,2
frozenset({'CWE-330'}),frozenset({'CWE-89'}),0.8313253012048193,0.9324324324324325,1.060162902628656,0.04717665844099295,1.7831325301204834,1,1,2
frozenset({'CWE-312'}),frozenset({'CWE-89'}),0.8674698795180723,0.923076923076923,1.0495258166491044,0.04093482363187695,1.5662650602409633,1,1,2
frozenset({'CWE-312'}),frozenset({'CWE-330'}),0.8674698795180723,0.923076923076923,1.0353430353430353,0.029612425606038606,1.4096385542168666,1,1,2
frozenset({'CWE-327'}),frozenset({'CWE-330'}),0.891566265060241,0.9135802469135802,1.0246913580246912,0.02148352445928292,1.2547332185886397,1,1,2
frozenset({'CWE-327'}),frozenset({'CWE-312'}),0.927710843373494,0.9506172839506173,1.011554289332067,0.010596603280592198,1.2198795180722886,1,1,2
frozenset({'CWE-327'}),frozenset({'CWE-89'}),0.8795180722891566,0.9012345679012345,1.0246913580246912,0.021193206561184508,1.2198795180722883,1,1,2
frozenset({'CWE-532'}),frozenset({'CWE-89'}),0.8795180722891566,0.8795180722891566,1.0,0.0,1.0,1,1,2
frozenset({'CWE-532'}),frozenset({'CWE-330'}),0.891566265060241,0.891566265060241,1.0,0.0,1.0,1,1,2
frozenset({'CWE-532'}),frozenset({'CWE-312'}),0.9397590361445783,0.9397590361445783,1.0,0.0,1.0,1,1,2
frozenset({'CWE-532'}),frozenset({'CWE-327'}),0.9759036144578314,0.9759036144578314,1.0,0.0,1.0,1,1,2
