antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-89', 'CWE-312'})","frozenset({'CWE-327', 'CWE-200'})",0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,2,2,4
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,1,3,4
"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})","frozenset({'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,3,2,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-327'})","frozenset({'CWE-532', 'CWE-200'})",0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,3,2,5
"frozenset({'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,2,3,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-327'})",frozenset({'CWE-200'}),0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,4,1,5
frozenset({'CWE-200'}),"frozenset({'CWE-89', 'CWE-312', 'CWE-327'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,1,3,4
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-532', 'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,2,3,5
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-89', 'CWE-312', 'CWE-327'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,2,3,5
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,2,2,4
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-327'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,1,4,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-327'})",frozenset({'CWE-200'}),0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-312'})","frozenset({'CWE-327', 'CWE-200'})",0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,3,2,5
"frozenset({'CWE-89', 'CWE-312'})",frozenset({'CWE-200'}),0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,2,1,3
frozenset({'CWE-200'}),"frozenset({'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,1,2,3
"frozenset({'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-200'})",0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,2,2,4
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-89', 'CWE-312'})",0.6,0.9183673469387755,1.2755102040816326,0.1296,3.430000000000001,2,2,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-312'})",frozenset({'CWE-200'}),0.6,0.8333333333333334,1.2755102040816326,0.1296,2.0800000000000005,3,1,4
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-89', 'CWE-200'})",0.6,0.7627118644067796,1.2435519528371408,0.11751111111111118,1.6295238095238096,1,3,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-200'})",frozenset({'CWE-312'}),0.6,0.9782608695652174,1.2435519528371408,0.11751111111111118,9.813333333333341,3,1,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.6,0.9782608695652174,1.2435519528371408,0.11751111111111118,9.813333333333341,3,2,5
frozenset({'CWE-312'}),"frozenset({'CWE-89', 'CWE-200'})",0.6,0.7627118644067796,1.2435519528371408,0.11751111111111118,1.6295238095238096,1,2,3
frozenset({'CWE-312'}),"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",0.6,0.7627118644067796,1.2435519528371408,0.11751111111111118,1.6295238095238096,1,3,4
"frozenset({'CWE-532', 'CWE-312'})","frozenset({'CWE-89', 'CWE-200'})",0.6,0.7627118644067796,1.2435519528371408,0.11751111111111118,1.6295238095238096,2,2,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.6,0.9782608695652174,1.2435519528371408,0.11751111111111118,9.813333333333341,3,1,4
"frozenset({'CWE-312', 'CWE-327'})","frozenset({'CWE-89', 'CWE-200'})",0.6,0.7627118644067796,1.2435519528371408,0.11751111111111118,1.6295238095238096,2,2,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.6,0.9782608695652174,1.2435519528371408,0.11751111111111118,9.813333333333341,2,2,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.6,0.9782608695652174,1.2435519528371408,0.11751111111111118,9.813333333333341,2,2,4
