antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.7012987012987013,1.0,1.013157894736842,0.009107775341541613,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276'})","frozenset({'CWE-312', 'CWE-327'})",0.7532467532467533,1.0,1.013157894736842,0.00978242536684093,inf,2,2,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-276'})",frozenset({'CWE-312'}),0.7532467532467533,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.7532467532467533,1.0,1.013157894736842,0.00978242536684093,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6493506493506493,1.0,1.013157894736842,0.008433125316242185,inf,3,1,4
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7142857142857143,1.0,1.013157894736842,0.00927643784786647,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})",frozenset({'CWE-532'}),0.7272727272727273,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-312'}),0.7142857142857143,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.7532467532467533,1.0,1.013157894736842,0.00978242536684093,inf,2,2,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.7532467532467533,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-276'})",frozenset({'CWE-327'}),0.7532467532467533,1.0,1.013157894736842,0.00978242536684093,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276'})","frozenset({'CWE-532', 'CWE-312'})",0.7532467532467533,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.7532467532467533,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-276'})",frozenset({'CWE-312'}),0.7532467532467533,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-312'}),0.6493506493506493,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276'})","frozenset({'CWE-312', 'CWE-327'})",0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,2,2,4
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-312'}),0.7012987012987013,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-327', 'CWE-276'})",frozenset({'CWE-312'}),0.8051948051948052,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,2,2,4
"frozenset({'CWE-330', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8051948051948052,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-276'})",frozenset({'CWE-327'}),0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276'})","frozenset({'CWE-532', 'CWE-312'})",0.8051948051948052,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.6493506493506493,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-276'})",frozenset({'CWE-312'}),0.8051948051948052,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.8051948051948052,1.0,1.0,0.0,inf,3,1,4
frozenset({'CWE-276'}),"frozenset({'CWE-532', 'CWE-312', 'CWE-327'})",0.8311688311688312,1.0,1.013157894736842,0.010794400404790072,inf,1,3,4
"frozenset({'CWE-327', 'CWE-276'})","frozenset({'CWE-532', 'CWE-312'})",0.8311688311688312,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-312', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8311688311688312,1.0,1.013157894736842,0.010794400404790072,inf,2,2,4
"frozenset({'CWE-532', 'CWE-276'})","frozenset({'CWE-312', 'CWE-327'})",0.8311688311688312,1.0,1.013157894736842,0.010794400404790072,inf,2,2,4
"frozenset({'CWE-312', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8311688311688312,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.7012987012987013,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})",frozenset({'CWE-312'}),0.7272727272727273,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.8311688311688312,1.0,1.013157894736842,0.010794400404790072,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})",frozenset({'CWE-327'}),0.7272727272727273,1.0,1.013157894736842,0.009445100354191216,inf,3,1,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.7142857142857143,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.7142857142857143,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})",frozenset({'CWE-312'}),0.7142857142857143,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7142857142857143,1.0,1.013157894736842,0.00927643784786647,inf,3,1,4
"frozenset({'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.7012987012987013,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-532'}),0.7142857142857143,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7012987012987013,1.0,1.013157894736842,0.009107775341541613,inf,2,2,4
"frozenset({'CWE-330', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.7662337662337663,1.0,1.013157894736842,0.009951087873165787,inf,2,2,4
"frozenset({'CWE-330', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.7662337662337663,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.7662337662337663,1.0,1.013157894736842,0.009951087873165787,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.922077922077922,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})",frozenset({'CWE-327'}),0.6883116883116883,1.0,1.013157894736842,0.008939112835216756,inf,3,1,4
"frozenset({'CWE-330', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7662337662337663,1.0,1.013157894736842,0.009951087873165787,inf,2,2,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7142857142857143,1.0,1.013157894736842,0.00927643784786647,inf,2,2,4
"frozenset({'CWE-330', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.7662337662337663,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-200'})",frozenset({'CWE-327'}),0.7662337662337663,1.0,1.013157894736842,0.009951087873165787,inf,3,1,4
"frozenset({'CWE-330', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.7662337662337663,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-200'})",frozenset({'CWE-312'}),0.7662337662337663,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-200'})",frozenset({'CWE-532'}),0.7662337662337663,1.0,1.0,0.0,inf,3,1,4
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-312', 'CWE-327'})",0.7792207792207793,1.0,1.013157894736842,0.010119750379490644,inf,1,3,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})",frozenset({'CWE-312'}),0.6883116883116883,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.7792207792207793,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-312', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7792207792207793,1.0,1.013157894736842,0.010119750379490644,inf,2,2,4
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.7792207792207793,1.0,1.013157894736842,0.010119750379490644,inf,2,2,4
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.7012987012987013,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-312', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.7792207792207793,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.7792207792207793,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.7792207792207793,1.0,1.013157894736842,0.010119750379490644,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})",frozenset({'CWE-532'}),0.6883116883116883,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-327', 'CWE-276'})",frozenset({'CWE-312'}),0.8311688311688312,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.7142857142857143,1.0,1.013157894736842,0.00927643784786647,inf,2,2,4
"frozenset({'CWE-330', 'CWE-327'})","frozenset({'CWE-532', 'CWE-312'})",0.922077922077922,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-749', 'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.6883116883116883,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-749', 'CWE-327'})",frozenset({'CWE-532'}),0.6493506493506493,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-330', 'CWE-312', 'CWE-749'})",frozenset({'CWE-532'}),0.6493506493506493,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-312', 'CWE-749'})","frozenset({'CWE-532', 'CWE-327'})",0.6883116883116883,1.0,1.013157894736842,0.008939112835216756,inf,2,2,4
"frozenset({'CWE-749', 'CWE-327'})","frozenset({'CWE-532', 'CWE-312'})",0.6883116883116883,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-330', 'CWE-749', 'CWE-327'})",frozenset({'CWE-312'}),0.6493506493506493,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-749', 'CWE-89', 'CWE-327'})",frozenset({'CWE-312'}),0.6233766233766234,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-749'})",frozenset({'CWE-312'}),0.6233766233766234,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-327'}),0.6233766233766234,1.0,1.013157894736842,0.00809580030359247,inf,3,1,4
"frozenset({'CWE-89', 'CWE-312', 'CWE-749'})",frozenset({'CWE-532'}),0.6233766233766234,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.8701298701298701,1.0,1.013157894736842,0.011300387923764532,inf,2,2,4
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327'})",0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,2,2,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-749'})",frozenset({'CWE-327'}),0.6493506493506493,1.0,1.013157894736842,0.008433125316242185,inf,3,1,4
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7012987012987013,1.0,1.013157894736842,0.009107775341541613,inf,3,1,4
"frozenset({'CWE-330', 'CWE-532', 'CWE-327'})",frozenset({'CWE-312'}),0.922077922077922,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-749'})","frozenset({'CWE-532', 'CWE-312'})",0.6233766233766234,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-330', 'CWE-749'})","frozenset({'CWE-532', 'CWE-312'})",0.6493506493506493,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-312'})",frozenset({'CWE-327'}),0.8701298701298701,1.0,1.013157894736842,0.011300387923764532,inf,3,1,4
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-312', 'CWE-327'})",0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,2,2,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.8051948051948052,1.0,1.0,0.0,inf,3,1,4
"frozenset({'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-312'})",0.8701298701298701,1.0,1.0,0.0,inf,2,2,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-532'})",frozenset({'CWE-327'}),0.8051948051948052,1.0,1.013157894736842,0.010457075392140358,inf,3,1,4
