antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-200'})",0.6547619047619048,0.873015873015873,1.2429378531073447,0.12797619047619058,2.3437500000000004,3,2,5
"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89'})",0.6547619047619048,0.9322033898305085,1.2429378531073447,0.12797619047619058,3.687500000000004,3,2,5
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89'})",0.6547619047619048,0.9322033898305085,1.2429378531073447,0.12797619047619058,3.687500000000004,2,2,4
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",0.6547619047619048,0.9322033898305085,1.2429378531073447,0.12797619047619058,3.687500000000004,2,3,5
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-200'})",0.6547619047619048,0.873015873015873,1.2429378531073447,0.12797619047619058,2.3437500000000004,2,2,4
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",0.6547619047619048,0.873015873015873,1.2429378531073447,0.12797619047619058,2.3437500000000004,2,3,5
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-327', 'CWE-200'})",0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,2,2,4
"frozenset({'CWE-330', 'CWE-89'})",frozenset({'CWE-200'}),0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,2,1,3
frozenset({'CWE-200'}),"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,1,3,4
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-330', 'CWE-89'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,2,2,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})",frozenset({'CWE-200'}),0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,3,1,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-330'})","frozenset({'CWE-327', 'CWE-200'})",0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,3,2,5
frozenset({'CWE-200'}),"frozenset({'CWE-330', 'CWE-89', 'CWE-532'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,1,3,4
"frozenset({'CWE-330', 'CWE-89', 'CWE-532'})",frozenset({'CWE-200'}),0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,3,1,4
frozenset({'CWE-200'}),"frozenset({'CWE-330', 'CWE-89'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,1,2,3
"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-327'})",frozenset({'CWE-200'}),0.6547619047619048,0.873015873015873,1.222222222222222,0.11904761904761907,2.25,4,1,5
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-532', 'CWE-89', 'CWE-330'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,2,3,5
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-327'})",0.6547619047619048,0.9166666666666666,1.222222222222222,0.11904761904761907,2.9999999999999987,1,4,5
frozenset({'CWE-200'}),"frozenset({'CWE-312', 'CWE-327'})",0.6190476190476191,0.8666666666666667,1.1934426229508197,0.10034013605442182,2.0535714285714293,1,2,3
frozenset({'CWE-312'}),"frozenset({'CWE-327', 'CWE-200'})",0.6190476190476191,0.8524590163934427,1.1934426229508197,0.10034013605442182,1.9365079365079372,1,2,3
"frozenset({'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.6190476190476191,0.8666666666666667,1.1934426229508197,0.10034013605442182,2.0535714285714293,2,1,3
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-200'}),0.6190476190476191,0.8524590163934427,1.1934426229508197,0.10034013605442182,1.9365079365079372,2,1,3
frozenset({'CWE-312'}),frozenset({'CWE-200'}),0.6190476190476191,0.8524590163934427,1.1934426229508197,0.10034013605442182,1.9365079365079372,1,1,2
frozenset({'CWE-200'}),frozenset({'CWE-312'}),0.6190476190476191,0.8666666666666667,1.1934426229508197,0.10034013605442182,2.0535714285714293,1,1,2
"frozenset({'CWE-532', 'CWE-200'})",frozenset({'CWE-312'}),0.6071428571428571,0.864406779661017,1.1903306474020563,0.09708049886621317,2.0193452380952386,2,1,3
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-312', 'CWE-327'})",0.6071428571428571,0.864406779661017,1.1903306474020563,0.09708049886621317,2.0193452380952386,2,2,4
"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",frozenset({'CWE-312'}),0.6071428571428571,0.864406779661017,1.1903306474020563,0.09708049886621317,2.0193452380952386,3,1,4
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-200'})",0.6071428571428571,0.8360655737704917,1.190330647402056,0.09708049886621317,1.81547619047619,1,2,3
"frozenset({'CWE-312', 'CWE-327'})","frozenset({'CWE-532', 'CWE-200'})",0.6071428571428571,0.8360655737704917,1.190330647402056,0.09708049886621317,1.81547619047619,2,2,4
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",0.6071428571428571,0.8360655737704917,1.190330647402056,0.09708049886621317,1.81547619047619,1,3,4
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-312', 'CWE-327'})",0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,1,3,4
"frozenset({'CWE-532', 'CWE-312'})","frozenset({'CWE-327', 'CWE-200'})",0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,2,2,4
"frozenset({'CWE-327', 'CWE-200'})","frozenset({'CWE-532', 'CWE-312'})",0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,2,2,4
"frozenset({'CWE-532', 'CWE-312', 'CWE-327'})",frozenset({'CWE-200'}),0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,3,1,4
"frozenset({'CWE-532', 'CWE-312'})",frozenset({'CWE-200'}),0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,2,1,3
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-312'})",0.6071428571428571,0.8499999999999999,1.1899999999999997,0.09693877551020402,1.9047619047619029,1,2,3
frozenset({'CWE-276'}),frozenset({'CWE-312'}),0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,1,1,2
"frozenset({'CWE-327', 'CWE-276'})",frozenset({'CWE-312'}),0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,2,1,3
frozenset({'CWE-312'}),"frozenset({'CWE-327', 'CWE-276'})",0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,1,2,3
frozenset({'CWE-276'}),"frozenset({'CWE-312', 'CWE-327'})",0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,1,2,3
frozenset({'CWE-312'}),frozenset({'CWE-276'}),0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,1,1,2
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-276'}),0.6190476190476191,0.8524590163934427,1.1738779897876916,0.0916950113378685,1.8558201058201067,2,1,3
"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",frozenset({'CWE-89'}),0.6666666666666666,0.9491525423728814,1.1724825523429712,0.09807256235827666,3.746031746031748,3,1,4
"frozenset({'CWE-532', 'CWE-200'})","frozenset({'CWE-89', 'CWE-327'})",0.6666666666666666,0.9491525423728814,1.1724825523429712,0.09807256235827666,3.746031746031748,2,2,4
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-200'})",0.6666666666666666,0.8235294117647058,1.1724825523429712,0.09807256235827666,1.6865079365079365,1,2,3
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-327', 'CWE-200'})",0.6666666666666666,0.8235294117647058,1.1724825523429712,0.09807256235827666,1.6865079365079365,1,3,4
"frozenset({'CWE-532', 'CWE-200'})",frozenset({'CWE-89'}),0.6666666666666666,0.9491525423728814,1.1724825523429712,0.09807256235827666,3.746031746031748,2,1,3
"frozenset({'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-200'})",0.6666666666666666,0.8235294117647058,1.1724825523429712,0.09807256235827666,1.6865079365079365,2,2,4
"frozenset({'CWE-532', 'CWE-89'})","frozenset({'CWE-330', 'CWE-327', 'CWE-200'})",0.6547619047619048,0.8088235294117647,1.171399594320487,0.0958049886621315,1.6190476190476193,2,3,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-327', 'CWE-200'})",frozenset({'CWE-89'}),0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,4,1,5
"frozenset({'CWE-330', 'CWE-200'})",frozenset({'CWE-89'}),0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-330', 'CWE-327', 'CWE-200'})",0.6547619047619048,0.8088235294117647,1.171399594320487,0.0958049886621315,1.6190476190476193,1,3,4
"frozenset({'CWE-532', 'CWE-89', 'CWE-327'})","frozenset({'CWE-330', 'CWE-200'})",0.6547619047619048,0.8088235294117647,1.171399594320487,0.0958049886621315,1.6190476190476193,3,2,5
"frozenset({'CWE-89', 'CWE-327'})","frozenset({'CWE-330', 'CWE-200'})",0.6547619047619048,0.8088235294117647,1.171399594320487,0.0958049886621315,1.6190476190476193,2,2,4
"frozenset({'CWE-330', 'CWE-200'})","frozenset({'CWE-89', 'CWE-327'})",0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,2,2,4
"frozenset({'CWE-330', 'CWE-200'})","frozenset({'CWE-532', 'CWE-89', 'CWE-327'})",0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,2,3,5
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-330', 'CWE-327', 'CWE-200'})",0.6547619047619048,0.8088235294117647,1.171399594320487,0.0958049886621315,1.6190476190476193,1,4,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-200'})","frozenset({'CWE-89', 'CWE-327'})",0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,3,2,5
"frozenset({'CWE-330', 'CWE-532', 'CWE-200'})",frozenset({'CWE-89'}),0.6547619047619048,0.9482758620689655,1.171399594320487,0.0958049886621315,3.682539682539683,3,1,4
