antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-532', 'CWE-89'})",frozenset({'CWE-327'}),0.9102564102564102,1.0,1.0129870129870129,0.011669953977646252,inf,2,1,3
"frozenset({'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.717948717948718,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.8974358974358975,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-312'}),"frozenset({'CWE-532', 'CWE-327'})",0.8974358974358975,1.0,1.0129870129870129,0.011505588428665336,inf,1,2,3
"frozenset({'CWE-89', 'CWE-200'})",frozenset({'CWE-327'}),0.6666666666666666,1.0,1.0129870129870129,0.008547008547008517,inf,2,1,3
"frozenset({'CWE-89', 'CWE-200'})",frozenset({'CWE-532'}),0.6666666666666666,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-276'}),"frozenset({'CWE-532', 'CWE-327'})",0.7692307692307693,1.0,1.0129870129870129,0.009861932938855955,inf,1,2,3
"frozenset({'CWE-330', 'CWE-200'})",frozenset({'CWE-327'}),0.6666666666666666,1.0,1.0129870129870129,0.008547008547008517,inf,2,1,3
"frozenset({'CWE-330', 'CWE-200'})",frozenset({'CWE-532'}),0.6666666666666666,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-200'}),"frozenset({'CWE-532', 'CWE-327'})",0.717948717948718,1.0,1.0129870129870129,0.009204470742932291,inf,1,2,3
"frozenset({'CWE-89', 'CWE-312'})",frozenset({'CWE-327'}),0.8333333333333334,1.0,1.0129870129870129,0.010683760683760646,inf,2,1,3
"frozenset({'CWE-532', 'CWE-200'})",frozenset({'CWE-327'}),0.717948717948718,1.0,1.0129870129870129,0.009204470742932291,inf,2,1,3
"frozenset({'CWE-532', 'CWE-312'})",frozenset({'CWE-327'}),0.8974358974358975,1.0,1.0129870129870129,0.011505588428665336,inf,2,1,3
"frozenset({'CWE-330', 'CWE-312'})",frozenset({'CWE-532'}),0.8205128205128205,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.7051282051282052,1.0,1.0129870129870129,0.009040105193951264,inf,2,1,3
"frozenset({'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.7051282051282052,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-330', 'CWE-312'})",frozenset({'CWE-327'}),0.8205128205128205,1.0,1.0129870129870129,0.01051939513477973,inf,2,1,3
"frozenset({'CWE-89', 'CWE-276'})",frozenset({'CWE-327'}),0.7435897435897436,1.0,1.0129870129870129,0.009533201840894123,inf,2,1,3
"frozenset({'CWE-89', 'CWE-276'})",frozenset({'CWE-532'}),0.7435897435897436,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-330', 'CWE-276'})",frozenset({'CWE-327'}),0.7435897435897436,1.0,1.0129870129870129,0.009533201840894123,inf,2,1,3
"frozenset({'CWE-532', 'CWE-276'})",frozenset({'CWE-327'}),0.7692307692307693,1.0,1.0129870129870129,0.009861932938855955,inf,2,1,3
"frozenset({'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.7692307692307693,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-200'})",frozenset({'CWE-532'}),0.6538461538461539,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-89', 'CWE-312'})",frozenset({'CWE-532'}),0.8333333333333334,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.6538461538461539,1.0,1.0129870129870129,0.0083826429980276,inf,2,1,3
"frozenset({'CWE-330', 'CWE-89'})",frozenset({'CWE-327'}),0.8717948717948718,1.0,1.0129870129870129,0.011176857330703394,inf,2,1,3
"frozenset({'CWE-89', 'CWE-327'})",frozenset({'CWE-532'}),0.9102564102564102,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,2,1,3
frozenset({'CWE-89'}),"frozenset({'CWE-532', 'CWE-327'})",0.9102564102564102,1.0,1.0129870129870129,0.011669953977646252,inf,1,2,3
"frozenset({'CWE-330', 'CWE-532'})",frozenset({'CWE-327'}),0.9102564102564102,1.0,1.0129870129870129,0.011669953977646252,inf,2,1,3
"frozenset({'CWE-330', 'CWE-327'})",frozenset({'CWE-532'}),0.9102564102564102,1.0,1.0,0.0,inf,2,1,3
frozenset({'CWE-330'}),"frozenset({'CWE-532', 'CWE-327'})",0.9102564102564102,1.0,1.0129870129870129,0.011669953977646252,inf,1,2,3
"frozenset({'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.6025641025641025,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-330', 'CWE-276'})",frozenset({'CWE-532'}),0.7435897435897436,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-330', 'CWE-89'})",frozenset({'CWE-532'}),0.8717948717948718,1.0,1.0,0.0,inf,2,1,3
"frozenset({'CWE-330', 'CWE-276'})",frozenset({'CWE-89'}),0.7307692307692307,0.9827586206896551,1.0796503156872268,0.0539119000657462,5.2051282051281955,2,1,3
