antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-532'})","frozenset({'CWE-276', 'CWE-89'})",0.6666666666666666,0.8125,1.0926724137931034,0.056541748849441076,1.3675213675213673,4,2,6
"frozenset({'CWE-327', 'CWE-276', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330'})",0.6666666666666666,0.8965517241379309,1.0926724137931034,0.056541748849441076,1.7350427350427338,4,2,6
"frozenset({'CWE-312', 'CWE-330', 'CWE-532'})","frozenset({'CWE-276', 'CWE-327', 'CWE-89'})",0.6666666666666666,0.8125,1.0926724137931034,0.056541748849441076,1.3675213675213673,3,3,6
"frozenset({'CWE-312', 'CWE-330', 'CWE-327'})","frozenset({'CWE-276', 'CWE-532', 'CWE-89'})",0.6666666666666666,0.8125,1.0926724137931034,0.056541748849441076,1.3675213675213673,3,3,6
"frozenset({'CWE-276', 'CWE-532', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327'})",0.6666666666666666,0.8965517241379309,1.0926724137931034,0.056541748849441076,1.7350427350427338,3,3,6
"frozenset({'CWE-276', 'CWE-327', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-532'})",0.6666666666666666,0.8965517241379309,1.0926724137931034,0.056541748849441076,1.7350427350427338,3,3,6
"frozenset({'CWE-312', 'CWE-330'})","frozenset({'CWE-327', 'CWE-276', 'CWE-532', 'CWE-89'})",0.6666666666666666,0.8125,1.0926724137931034,0.056541748849441076,1.3675213675213673,2,4,6
"frozenset({'CWE-276', 'CWE-89'})","frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-532'})",0.6666666666666666,0.8965517241379309,1.0926724137931034,0.056541748849441076,1.7350427350427338,2,4,6
"frozenset({'CWE-330', 'CWE-312', 'CWE-532', 'CWE-327', 'CWE-89'})",frozenset({'CWE-276'}),0.6666666666666666,0.8387096774193549,1.0903225806451613,0.05522682445759364,1.4307692307692308,5,1,6
"frozenset({'CWE-312', 'CWE-330', 'CWE-532', 'CWE-89'})","frozenset({'CWE-276', 'CWE-327'})",0.6666666666666666,0.8387096774193549,1.0903225806451613,0.05522682445759364,1.4307692307692308,4,2,6
"frozenset({'CWE-312', 'CWE-330', 'CWE-327', 'CWE-89'})","frozenset({'CWE-276', 'CWE-532'})",0.6666666666666666,0.8387096774193549,1.0903225806451613,0.05522682445759364,1.4307692307692308,4,2,6
"frozenset({'CWE-312', 'CWE-330', 'CWE-89'})","frozenset({'CWE-327', 'CWE-276', 'CWE-532'})",0.6666666666666666,0.8387096774193549,1.0903225806451613,0.05522682445759364,1.4307692307692308,3,3,6
