antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.7840909090909091,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-276'})",frozenset({'CWE-327'}),0.8295454545454546,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})",frozenset({'CWE-327'}),0.7727272727272727,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.7840909090909091,1.0,1.0114942528735633,0.00891012396694213,inf,3,2,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})",frozenset({'CWE-532'}),0.7727272727272727,1.0,1.0114942528735633,0.008780991735537147,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8295454545454546,1.0,1.0114942528735633,0.009426652892561949,inf,3,2,5
"frozenset({'CWE-330', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-532'}),0.7386363636363636,1.0,1.0114942528735633,0.00839359504132231,inf,4,1,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7386363636363636,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,4,1,5
"frozenset({'CWE-532', 'CWE-312', 'CWE-330', 'CWE-200'})",frozenset({'CWE-327'}),0.7045454545454546,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6818181818181818,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.6590909090909091,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,3,2,5
"frozenset({'CWE-749', 'CWE-276'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.6136363636363636,1.0,1.0731707317073171,0.04183884297520668,inf,2,3,5
"frozenset({'CWE-330', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7386363636363636,1.0,1.0114942528735633,0.00839359504132231,inf,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-200'})",frozenset({'CWE-327'}),0.7045454545454546,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-532'}),0.6590909090909091,1.0,1.0114942528735633,0.007489669421487544,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,4,1,5
"frozenset({'CWE-89', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-532'}),0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,4,1,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.7840909090909091,1.0,1.0114942528735633,0.00891012396694213,inf,4,1,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.7045454545454546,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-312', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-532'}),0.6931818181818182,1.0,1.0114942528735633,0.007877066115702491,inf,4,1,5
"frozenset({'CWE-532', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6931818181818182,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.6818181818181818,1.0,1.0114942528735633,0.007747933884297509,inf,4,1,5
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.6931818181818182,1.0,1.0114942528735633,0.007877066115702491,inf,3,2,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8295454545454546,1.0,1.0114942528735633,0.009426652892561949,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.6931818181818182,1.0,1.0114942528735633,0.007877066115702491,inf,4,1,5
"frozenset({'CWE-532', 'CWE-749', 'CWE-327', 'CWE-276'})",frozenset({'CWE-330'}),0.6136363636363636,1.0,1.0731707317073171,0.04183884297520668,inf,4,1,5
"frozenset({'CWE-532', 'CWE-749', 'CWE-330', 'CWE-276'})",frozenset({'CWE-327'}),0.6136363636363636,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.6818181818181818,1.0,1.0114942528735633,0.007747933884297509,inf,3,2,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.8181818181818182,1.0,1.0114942528735633,0.009297520661156966,inf,4,1,5
"frozenset({'CWE-532', 'CWE-312', 'CWE-330', 'CWE-276'})",frozenset({'CWE-327'}),0.8181818181818182,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-532'}),0.7613636363636364,1.0,1.0114942528735633,0.008651859504132275,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6931818181818182,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-327'}),0.6590909090909091,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-276'})",frozenset({'CWE-327'}),0.7613636363636364,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-327'}),0.6818181818181818,1.0,1.0,0.0,inf,4,1,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.8181818181818182,1.0,1.0114942528735633,0.009297520661156966,inf,3,2,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-327', 'CWE-200'})",frozenset({'CWE-532'}),0.6818181818181818,1.0,1.0114942528735633,0.007747933884297509,inf,4,1,5
"frozenset({'CWE-330', 'CWE-749', 'CWE-327', 'CWE-276'})",frozenset({'CWE-532'}),0.6136363636363636,1.0,1.0114942528735633,0.0069731404958677246,inf,4,1,5
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-327'})",0.7045454545454546,1.0,1.0114942528735633,0.008006198347107474,inf,3,2,5
"frozenset({'CWE-749', 'CWE-327', 'CWE-276'})","frozenset({'CWE-532', 'CWE-330'})",0.6136363636363636,1.0,1.0731707317073171,0.04183884297520668,inf,3,2,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-532'}),0.6590909090909091,1.0,1.0114942528735633,0.007489669421487544,inf,4,1,5
"frozenset({'CWE-330', 'CWE-749', 'CWE-276'})","frozenset({'CWE-532', 'CWE-327'})",0.6136363636363636,1.0,1.0114942528735633,0.0069731404958677246,inf,3,2,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-327'})",0.7727272727272727,1.0,1.0114942528735633,0.008780991735537147,inf,3,2,5
"frozenset({'CWE-532', 'CWE-749', 'CWE-276'})","frozenset({'CWE-330', 'CWE-327'})",0.6136363636363636,1.0,1.0731707317073171,0.04183884297520668,inf,3,2,5
"frozenset({'CWE-532', 'CWE-749'})","frozenset({'CWE-330', 'CWE-327', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0936708860759494,0.05255681818181823,5.624999999999999,2,3,5
frozenset({'CWE-749'}),"frozenset({'CWE-532', 'CWE-330', 'CWE-327', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0936708860759494,0.05255681818181823,5.624999999999999,1,4,5
"frozenset({'CWE-749', 'CWE-327'})","frozenset({'CWE-532', 'CWE-330', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0936708860759494,0.05255681818181823,5.624999999999999,2,3,5
"frozenset({'CWE-532', 'CWE-749', 'CWE-327'})","frozenset({'CWE-330', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0936708860759494,0.05255681818181823,5.624999999999999,3,2,5
"frozenset({'CWE-532', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-330'}),0.7386363636363636,0.9848484848484849,1.056910569105691,0.03977272727272729,4.500000000000007,4,1,5
"frozenset({'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.7386363636363636,0.9848484848484849,1.056910569105691,0.03977272727272729,4.500000000000007,2,3,5
"frozenset({'CWE-327', 'CWE-200', 'CWE-276'})","frozenset({'CWE-532', 'CWE-330'})",0.7386363636363636,0.9848484848484849,1.056910569105691,0.03977272727272729,4.500000000000007,3,2,5
"frozenset({'CWE-532', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-327'})",0.7386363636363636,0.9848484848484849,1.056910569105691,0.03977272727272729,4.500000000000007,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-276', 'CWE-200'})",frozenset({'CWE-330'}),0.6931818181818182,0.9838709677419355,1.055861526357199,0.03667355371900827,4.227272727272734,4,1,5
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-330'})",0.6931818181818182,0.9838709677419355,1.055861526357199,0.03667355371900827,4.227272727272734,3,2,5
"frozenset({'CWE-89', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-327'})",0.6931818181818182,0.9838709677419355,1.055861526357199,0.03667355371900827,4.227272727272734,3,2,5
"frozenset({'CWE-89', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-330'}),0.6931818181818182,0.9838709677419355,1.055861526357199,0.03667355371900827,4.227272727272734,4,1,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-327'})",frozenset({'CWE-276'}),0.8295454545454546,0.9864864864864865,1.0459133832627807,0.0364152892561983,4.2045454545454595,4,1,5
"frozenset({'CWE-330', 'CWE-89'})","frozenset({'CWE-532', 'CWE-327', 'CWE-276'})",0.8295454545454546,0.9864864864864865,1.0459133832627807,0.0364152892561983,4.2045454545454595,2,3,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-327'})","frozenset({'CWE-532', 'CWE-276'})",0.8295454545454546,0.9864864864864865,1.0459133832627807,0.0364152892561983,4.2045454545454595,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-330'})","frozenset({'CWE-327', 'CWE-276'})",0.8295454545454546,0.9864864864864865,1.0459133832627807,0.0364152892561983,4.2045454545454595,3,2,5
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-330'})",0.6818181818181818,0.983606557377049,1.055577768892443,0.03589876033057848,4.159090909090879,3,2,5
"frozenset({'CWE-312', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-330'}),0.6818181818181818,0.983606557377049,1.055577768892443,0.03589876033057848,4.159090909090879,4,1,5
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})","frozenset({'CWE-330', 'CWE-327'})",0.6818181818181818,0.983606557377049,1.055577768892443,0.03589876033057848,4.159090909090879,3,2,5
"frozenset({'CWE-532', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-330'}),0.6818181818181818,0.983606557377049,1.055577768892443,0.03589876033057848,4.159090909090879,4,1,5
"frozenset({'CWE-89', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-330'}),0.6477272727272727,0.9827586206896551,1.0546677880571909,0.03357438016528935,3.9545454545454497,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-327', 'CWE-276'})",0.7613636363636364,0.9852941176470589,1.0446491849751949,0.0325413223140496,3.863636363636374,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-312', 'CWE-330'})",frozenset({'CWE-276'}),0.7613636363636364,0.9852941176470589,1.0446491849751949,0.0325413223140496,3.863636363636374,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-327'})",frozenset({'CWE-276'}),0.7613636363636364,0.9852941176470589,1.0446491849751949,0.0325413223140496,3.863636363636374,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312'})","frozenset({'CWE-532', 'CWE-276'})",0.7613636363636364,0.9852941176470589,1.0446491849751949,0.0325413223140496,3.863636363636374,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-330', 'CWE-200'})",frozenset({'CWE-276'}),0.6931818181818182,0.9838709677419355,1.0431403031480762,0.028667355371900793,3.522727272727273,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})","frozenset({'CWE-327', 'CWE-276'})",0.6931818181818182,0.9838709677419355,1.0431403031480762,0.028667355371900793,3.522727272727273,3,2,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-327', 'CWE-200'})",frozenset({'CWE-276'}),0.6931818181818182,0.9838709677419355,1.0431403031480762,0.028667355371900793,3.522727272727273,4,1,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-200'})","frozenset({'CWE-532', 'CWE-276'})",0.6931818181818182,0.9838709677419355,1.0431403031480762,0.028667355371900793,3.522727272727273,3,2,5
"frozenset({'CWE-330', 'CWE-89', 'CWE-312', 'CWE-200'})",frozenset({'CWE-276'}),0.6477272727272727,0.9827586206896551,1.0419609472372247,0.026084710743801587,3.295454545454536,4,1,5
"frozenset({'CWE-330', 'CWE-749', 'CWE-327'})","frozenset({'CWE-532', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0409638554216867,0.024147727272727293,3.124999999999996,3,2,5
"frozenset({'CWE-532', 'CWE-330', 'CWE-749'})","frozenset({'CWE-327', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0409638554216867,0.024147727272727293,3.124999999999996,3,2,5
"frozenset({'CWE-330', 'CWE-749'})","frozenset({'CWE-532', 'CWE-327', 'CWE-276'})",0.6136363636363636,0.9818181818181818,1.0409638554216867,0.024147727272727293,3.124999999999996,2,3,5
"frozenset({'CWE-532', 'CWE-749', 'CWE-330', 'CWE-327'})",frozenset({'CWE-276'}),0.6136363636363636,0.9818181818181818,1.0409638554216867,0.024147727272727293,3.124999999999996,4,1,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-276'})","frozenset({'CWE-330', 'CWE-327'})",0.8295454545454546,0.9733333333333334,1.0445528455284554,0.035382231404958775,2.5568181818181883,3,2,5
"frozenset({'CWE-89', 'CWE-276'})","frozenset({'CWE-532', 'CWE-330', 'CWE-327'})",0.8295454545454546,0.9733333333333334,1.0445528455284554,0.035382231404958775,2.5568181818181883,2,3,5
"frozenset({'CWE-89', 'CWE-327', 'CWE-276'})","frozenset({'CWE-532', 'CWE-330'})",0.8295454545454546,0.9733333333333334,1.0445528455284554,0.035382231404958775,2.5568181818181883,3,2,5
"frozenset({'CWE-532', 'CWE-89', 'CWE-327', 'CWE-276'})",frozenset({'CWE-330'}),0.8295454545454546,0.9733333333333334,1.0445528455284554,0.035382231404958775,2.5568181818181883,4,1,5
"frozenset({'CWE-312', 'CWE-327', 'CWE-200', 'CWE-276'})",frozenset({'CWE-89'}),0.6590909090909091,0.9508196721311474,1.0866510538641685,0.05255681818181812,2.541666666666658,4,1,5
"frozenset({'CWE-532', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-89'}),0.6590909090909091,0.9508196721311474,1.0866510538641685,0.05255681818181812,2.541666666666658,4,1,5
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})","frozenset({'CWE-532', 'CWE-89'})",0.6590909090909091,0.9508196721311474,1.0866510538641685,0.05255681818181812,2.541666666666658,3,2,5
"frozenset({'CWE-312', 'CWE-276', 'CWE-200'})","frozenset({'CWE-89', 'CWE-327'})",0.6590909090909091,0.9508196721311474,1.0866510538641685,0.05255681818181812,2.541666666666658,3,2,5
"frozenset({'CWE-330', 'CWE-312', 'CWE-276', 'CWE-200'})",frozenset({'CWE-89'}),0.6477272727272727,0.9500000000000001,1.0857142857142859,0.051136363636363646,2.5000000000000036,4,1,5
