antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'WAKE_LOCK'}),"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",0.7490671641791045,0.7966269841269841,1.0154389143687599,0.011388950768545292,1.059555879140881,1,2,3
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'WAKE_LOCK'}),0.7490671641791045,0.9548156956004756,1.0154389143687597,0.011388950768545292,1.321288295365278,2,1,3
"frozenset({'WAKE_LOCK', 'INTERNET'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.7490671641791045,0.7974180734856008,1.0128343303039857,0.009491952550679361,1.049879280070237,2,1,3
frozenset({'WRITE_EXTERNAL_STORAGE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.7490671641791045,0.9514218009478673,1.0128343303039857,0.009491952550679361,1.248179832544594,1,2,3
frozenset({'INTERNET'}),"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.7490671641791045,0.7568331762488218,1.0091109016650959,0.006763059701492491,1.0281007751937983,1,2,3
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.7490671641791045,0.9987562189054726,1.0091109016650956,0.006763059701492491,8.249999999999822,2,1,3
"frozenset({'WAKE_LOCK', 'INTERNET'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.7182835820895522,0.7646474677259185,1.060416669343059,0.04092382072844725,1.185106902197871,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.7182835820895522,0.9961190168175937,1.060416669343059,0.04092382072844725,15.623445273631624,1,2,3
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.7182835820895522,0.9961190168175937,1.0593646686790281,0.04025116952550667,15.38308457711421,2,1,3
frozenset({'WAKE_LOCK'}),"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.7182835820895522,0.7638888888888888,1.0593646686790281,0.04025116952550667,1.1812993854258116,1,2,3
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.7182835820895522,1.0,1.010367577756833,0.007370447204277042,inf,2,1,3
"frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})",frozenset({'WAKE_LOCK'}),0.6184701492537313,0.973568281938326,1.0353821411090134,0.021134996658498606,2.2587064676616913,2,1,3
frozenset({'READ_EXTERNAL_STORAGE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.6184701492537313,0.9707174231332357,1.0333754494526601,0.019975043161060357,2.070662313432835,1,2,3
"frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.6184701492537313,1.0,1.010367577756833,0.006346242203163266,inf,2,1,3
"frozenset({'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",frozenset({'READ_EXTERNAL_STORAGE'}),0.6119402985074627,0.7800237812128419,1.224283299356027,0.11210476303185568,1.649601653892699,2,1,3
frozenset({'READ_EXTERNAL_STORAGE'}),"frozenset({'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",0.6119402985074627,0.9604685212298683,1.224283299356027,0.11210476303185568,5.4509742951907185,1,2,3
"frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6119402985074627,0.9632892804698973,1.2235143467579739,0.11179062708843845,5.793582089552246,2,1,3
frozenset({'WRITE_EXTERNAL_STORAGE'}),"frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.6119402985074627,0.7772511848341233,1.2235143467579739,0.11179062708843845,1.6374444268021597,1,2,3
"frozenset({'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.6119402985074627,0.9984779299847792,1.0088297275623783,0.005355974326130553,6.741604477611669,2,1,3
