antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'INTERNET'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'CAMERA'}),frozenset({'ACCESS_NETWORK_STATE'}),0.6052631578947368,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'RECEIVE'}),0.7236842105263158,1.0,1.0555555555555556,0.0380886426592798,inf,1,1,2
frozenset({'INTERNET'}),frozenset({'ACCESS_NETWORK_STATE'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'READ_EXTERNAL_STORAGE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.6710526315789473,1.0,1.0,0.0,inf,1,1,2
frozenset({'READ_EXTERNAL_STORAGE'}),frozenset({'INTERNET'}),0.6710526315789473,1.0,1.0,0.0,inf,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'INTERNET'}),0.8289473684210527,1.0,1.0,0.0,inf,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8289473684210527,1.0,1.0,0.0,inf,1,1,2
frozenset({'ACCESS_WIFI_STATE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.6447368421052632,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'INTERNET'}),0.7236842105263158,1.0,1.0,0.0,inf,1,1,2
frozenset({'ACCESS_WIFI_STATE'}),frozenset({'INTERNET'}),0.6447368421052632,1.0,1.0,0.0,inf,1,1,2
frozenset({'CAMERA'}),frozenset({'INTERNET'}),0.6052631578947368,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'INTERNET'}),0.9473684210526315,1.0,1.0,0.0,inf,1,1,2
frozenset({'VIBRATE'}),frozenset({'RECEIVE'}),0.6578947368421053,1.0,1.0555555555555556,0.03462603878116344,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.9473684210526315,1.0,1.0,0.0,inf,1,1,2
frozenset({'VIBRATE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.6578947368421053,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'INTERNET'}),0.9473684210526315,1.0,1.0,0.0,inf,1,1,2
frozenset({'VIBRATE'}),frozenset({'INTERNET'}),0.6578947368421053,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'ACCESS_NETWORK_STATE'}),0.9473684210526315,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.7236842105263158,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'WAKE_LOCK'}),0.7105263157894737,0.9818181818181818,1.0363636363636364,0.024930747922437657,2.894736842105265,1,1,2
frozenset({'READ_EXTERNAL_STORAGE'}),frozenset({'WAKE_LOCK'}),0.6578947368421053,0.9803921568627452,1.0348583877995643,0.02216066481994472,2.684210526315802,1,1,2
frozenset({'READ_EXTERNAL_STORAGE'}),frozenset({'RECEIVE'}),0.6578947368421053,0.9803921568627452,1.0348583877995643,0.02216066481994472,2.684210526315802,1,1,2
frozenset({'VIBRATE'}),frozenset({'WAKE_LOCK'}),0.6447368421052632,0.98,1.0344444444444445,0.02146814404432129,2.6315789473684212,1,1,2
frozenset({'READ_EXTERNAL_STORAGE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.618421052631579,0.9215686274509804,1.1117335823218177,0.0621537396121884,2.18092105263158,1,1,2
frozenset({'RECEIVE'}),frozenset({'WAKE_LOCK'}),0.9210526315789473,0.9722222222222222,1.0262345679012346,0.023545706371191244,1.8947368421052642,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'RECEIVE'}),0.9210526315789473,0.9722222222222222,1.0262345679012346,0.023545706371191244,1.8947368421052642,1,1,2
frozenset({'RECEIVE'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.7236842105263158,0.763888888888889,1.0555555555555556,0.0380886426592798,1.170278637770898,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'RECEIVE'}),0.7894736842105263,0.9523809523809523,1.0052910052910053,0.0041551246537396835,1.1052631578947367,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6052631578947368,0.8363636363636363,1.0089466089466088,0.0053670360110802395,1.0453216374269,1,1,2
frozenset({'RECEIVE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.7894736842105263,0.8333333333333334,1.0052910052910053,0.0041551246537396835,1.0263157894736843,1,1,2
frozenset({'INTERNET'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.8289473684210527,0.8289473684210527,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.8289473684210527,0.8289473684210527,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'RECEIVE'}),0.9473684210526315,0.9473684210526315,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'RECEIVE'}),0.9473684210526315,0.9473684210526315,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'WAKE_LOCK'}),0.9473684210526315,0.9473684210526315,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'WAKE_LOCK'}),0.9473684210526315,0.9473684210526315,1.0,0.0,1.0,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.7763157894736842,0.8194444444444444,0.9885361552028218,-0.009002770083102463,0.9473684210526313,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'WAKE_LOCK'}),0.7763157894736842,0.9365079365079364,0.9885361552028218,-0.009002770083102463,0.8289473684210521,1,1,2
