antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'WRITE_EXTERNAL_STORAGE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.7349397590361446,1.0,1.0375,0.026564087676005266,inf,3,1,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6024096385542169,1.0,1.0506329113924051,0.02903178980984178,inf,2,2,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6024096385542169,1.0,1.0921052631578947,0.050805632167223114,inf,2,2,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.6024096385542169,1.0,1.0921052631578947,0.050805632167223114,inf,3,1,4
"frozenset({'READ_PHONE_STATE', 'WAKE_LOCK', 'RECEIVE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6024096385542169,1.0,1.0506329113924051,0.02903178980984178,inf,3,1,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6024096385542169,1.0,1.0921052631578947,0.050805632167223114,inf,2,2,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6024096385542169,1.0,1.0921052631578947,0.050805632167223114,inf,3,1,4
"frozenset({'READ_PHONE_STATE', 'WAKE_LOCK', 'RECEIVE'})",frozenset({'INTERNET'}),0.6024096385542169,1.0,1.0375,0.021773842357381334,inf,3,1,4
"frozenset({'READ_PHONE_STATE', 'RECEIVE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6024096385542169,1.0,1.0506329113924051,0.02903178980984178,inf,3,1,4
"frozenset({'WRITE_EXTERNAL_STORAGE', 'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.6385542168674698,1.0,1.0375,0.023080272898824195,inf,3,1,4
