antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'RECEIVE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6153846153846154,1.0,1.0985915492957747,0.05522682445759375,inf,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6153846153846154,1.0,1.1818181818181819,0.09467455621301779,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'RECEIVE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6153846153846154,1.0,1.0985915492957747,0.05522682445759375,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6153846153846154,1.0,1.2,0.10256410256410253,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6153846153846154,1.0,1.2,0.10256410256410253,inf,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6153846153846154,1.0,1.1818181818181819,0.09467455621301779,inf,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'RECEIVE', 'INTERNET'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'RECEIVE'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})","frozenset({'RECEIVE', 'INTERNET'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,3,2,5
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,1,4,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'RECEIVE'}),0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.6153846153846154,0.9411764705882353,1.33475935828877,0.15433925049309666,5.012820512820511,2,3,5
