antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'INTERNET'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,1,2,3
frozenset({'RECEIVE'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8953488372093024,1.0,1.0,0.0,inf,1,2,3
"frozenset({'RECEIVE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8953488372093024,1.0,1.0,0.0,inf,2,1,3
frozenset({'INTERNET'}),frozenset({'ACCESS_NETWORK_STATE'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,1,2,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,2,1,3
"frozenset({'RECEIVE', 'WAKE_LOCK'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8953488372093024,1.0,1.0,0.0,inf,2,1,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8953488372093024,1.0,1.0,0.0,inf,3,1,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.8953488372093024,1.0,1.0,0.0,inf,2,1,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,3,1,4
"frozenset({'RECEIVE', 'WAKE_LOCK', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8953488372093024,1.0,1.0,0.0,inf,3,1,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,2,2,4
"frozenset({'RECEIVE', 'WAKE_LOCK'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8953488372093024,1.0,1.0,0.0,inf,2,2,4
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,2,2,4
frozenset({'RECEIVE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK', 'INTERNET'})",0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,1,3,4
"frozenset({'RECEIVE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8953488372093024,1.0,1.0,0.0,inf,2,1,3
"frozenset({'RECEIVE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,2,1,3
frozenset({'RECEIVE'}),frozenset({'INTERNET'}),0.8953488372093024,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'ACCESS_NETWORK_STATE'}),0.9534883720930233,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'INTERNET'}),0.9534883720930233,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8953488372093024,1.0,1.0,0.0,inf,1,1,2
"frozenset({'WAKE_LOCK', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.9534883720930233,1.0,1.0,0.0,inf,2,1,3
frozenset({'WAKE_LOCK'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.9534883720930233,1.0,1.0,0.0,inf,1,2,3
"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.9534883720930233,1.0,1.0,0.0,inf,2,1,3
frozenset({'RECEIVE'}),frozenset({'WAKE_LOCK'}),0.8953488372093024,1.0,1.048780487804878,0.04164413196322336,inf,1,1,2
"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'INTERNET'})",0.8953488372093024,0.9390243902439025,1.048780487804878,0.04164413196322336,1.7162790697674428,2,2,4
frozenset({'WAKE_LOCK'}),frozenset({'RECEIVE'}),0.8953488372093024,0.9390243902439025,1.048780487804878,0.04164413196322336,1.7162790697674428,1,1,2
