antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.7931034482758621,1.0,1.0,0.0,inf,4,1,5
"frozenset({'WAKE_LOCK', 'BILLING', 'VIBRATE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6091954022988506,1.0,1.0,0.0,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BILLING'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,3,2,5
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING', 'VIBRATE'})",frozenset({'INTERNET'}),0.6091954022988506,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BILLING', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7241379310344828,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BILLING', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING'})",frozenset({'INTERNET'}),0.7241379310344828,1.0,1.0,0.0,inf,4,1,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'BILLING', 'VIBRATE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6091954022988506,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,2,3,5
"frozenset({'ACCESS_WIFI_STATE', 'BILLING', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,3,2,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING'})",frozenset({'INTERNET'}),0.632183908045977,1.0,1.0,0.0,inf,4,1,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'BILLING', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.632183908045977,1.0,1.0481927710843375,0.029065926806711606,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7241379310344828,1.0,1.0,0.0,inf,3,2,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'BILLING', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.632183908045977,1.0,1.0,0.0,inf,4,1,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'BILLING'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.632183908045977,1.0,1.0481927710843375,0.029065926806711606,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BILLING'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7241379310344828,1.0,1.0,0.0,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6436781609195402,1.0,1.0481927710843375,0.029594398203197314,inf,2,3,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.6666666666666666,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6666666666666666,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6666666666666666,1.0,1.0481927710843375,0.03065134099616862,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.6666666666666666,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6666666666666666,1.0,1.0481927710843375,0.03065134099616862,inf,3,2,5
"frozenset({'INTERNET', 'ACCESS_WIFI_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6666666666666666,1.0,1.0,0.0,inf,4,1,5
"frozenset({'INTERNET', 'ACCESS_WIFI_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.6666666666666666,1.0,1.0481927710843375,0.03065134099616862,inf,4,1,5
"frozenset({'ACCESS_WIFI_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6666666666666666,1.0,1.0,0.0,inf,3,2,5
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6436781609195402,1.0,1.0481927710843375,0.029594398203197314,inf,3,2,5
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})",frozenset({'INTERNET'}),0.6436781609195402,1.0,1.0,0.0,inf,4,1,5
"frozenset({'INTERNET', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})",frozenset({'WAKE_LOCK'}),0.6436781609195402,1.0,1.0481927710843375,0.029594398203197314,inf,4,1,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6436781609195402,1.0,1.0,0.0,inf,4,1,5
"frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6436781609195402,1.0,1.0481927710843375,0.029594398203197314,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'BILLING'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,2,3,5
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'VIBRATE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6436781609195402,1.0,1.0,0.0,inf,3,2,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'BILLING'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.632183908045977,1.0,1.0,0.0,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.6666666666666666,1.0,1.0481927710843375,0.03065134099616862,inf,4,1,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6091954022988506,1.0,1.0481927710843375,0.0280089840137403,inf,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'BILLING', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.7931034482758621,1.0,1.0481927710843375,0.03646452635751096,inf,4,1,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6091954022988506,1.0,1.0481927710843375,0.0280089840137403,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7241379310344828,1.0,1.0,0.0,inf,4,1,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'BILLING'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7931034482758621,1.0,1.0481927710843375,0.03646452635751096,inf,2,3,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6091954022988506,1.0,1.0,0.0,inf,4,1,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7931034482758621,1.0,1.0,0.0,inf,4,1,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.6091954022988506,1.0,1.0,0.0,inf,4,1,5
"frozenset({'RECEIVE', 'BILLING'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.632183908045977,1.0,1.0481927710843375,0.029065926806711606,inf,2,3,5
"frozenset({'RECEIVE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6091954022988506,1.0,1.0481927710843375,0.0280089840137403,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'BILLING', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.7931034482758621,1.0,1.0481927710843375,0.03646452635751096,inf,3,2,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6091954022988506,1.0,1.0,0.0,inf,3,2,5
"frozenset({'WAKE_LOCK', 'BILLING', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7931034482758621,1.0,1.0,0.0,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'BILLING'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.7931034482758621,1.0,1.0481927710843375,0.03646452635751096,inf,3,2,5
"frozenset({'RECEIVE', 'BILLING', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.632183908045977,1.0,1.0481927710843375,0.029065926806711606,inf,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.7241379310344828,1.0,1.0481927710843375,0.03329369797859694,inf,4,1,5
"frozenset({'RECEIVE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6091954022988506,1.0,1.0481927710843375,0.0280089840137403,inf,2,3,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.7241379310344828,1.0,1.0,0.0,inf,4,1,5
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET', 'VIBRATE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.6436781609195402,0.9824561403508772,1.1246537396121883,0.0713436385255648,7.206896551724158,4,1,5
"frozenset({'WAKE_LOCK', 'INTERNET', 'VIBRATE'})","frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6436781609195402,0.9824561403508772,1.1246537396121883,0.0713436385255648,7.206896551724158,3,2,5
"frozenset({'WAKE_LOCK', 'VIBRATE'})","frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.6436781609195402,0.9824561403508772,1.1246537396121883,0.0713436385255648,7.206896551724158,2,3,5
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'VIBRATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.6436781609195402,0.9824561403508772,1.1246537396121883,0.0713436385255648,7.206896551724158,3,2,5
"frozenset({'INTERNET', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6436781609195402,0.9655172413793104,1.1052631578947367,0.06130268199233713,3.66666666666667,2,3,5
frozenset({'VIBRATE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.6436781609195402,0.9655172413793104,1.1052631578947367,0.06130268199233713,3.66666666666667,1,4,5
"frozenset({'ACCESS_NETWORK_STATE', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.6436781609195402,0.9655172413793104,1.1052631578947367,0.06130268199233713,3.66666666666667,2,3,5
"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6436781609195402,0.9655172413793104,1.1052631578947367,0.06130268199233713,3.66666666666667,3,2,5
"frozenset({'BILLING', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6091954022988506,0.9814814814814815,1.028781793842035,0.017043202536662805,2.482758620689662,2,3,5
"frozenset({'ACCESS_NETWORK_STATE', 'BILLING', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6091954022988506,0.9814814814814815,1.028781793842035,0.017043202536662805,2.482758620689662,3,2,5
"frozenset({'INTERNET', 'BILLING', 'VIBRATE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6091954022988506,0.9814814814814815,1.028781793842035,0.017043202536662805,2.482758620689662,3,2,5
"frozenset({'INTERNET', 'ACCESS_NETWORK_STATE', 'BILLING', 'VIBRATE'})",frozenset({'WAKE_LOCK'}),0.6091954022988506,0.9814814814814815,1.028781793842035,0.017043202536662805,2.482758620689662,4,1,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'BILLING'})",0.632183908045977,0.9482758620689655,1.0855263157894737,0.04980842911877392,2.4444444444444438,3,2,5
frozenset({'RECEIVE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING', 'INTERNET'})",0.632183908045977,0.9482758620689655,1.0855263157894737,0.04980842911877392,2.4444444444444438,1,4,5
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'BILLING'})",0.632183908045977,0.9482758620689655,1.0855263157894737,0.04980842911877392,2.4444444444444438,2,3,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'BILLING', 'INTERNET'})",0.632183908045977,0.9482758620689655,1.0855263157894737,0.04980842911877392,2.4444444444444438,2,3,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'INTERNET'})","frozenset({'ACCESS_NETWORK_STATE', 'BILLING'})",0.632183908045977,0.9482758620689655,1.0443037974683544,0.026819923371647514,1.7777777777777781,3,2,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'BILLING'}),0.632183908045977,0.9482758620689655,1.0443037974683544,0.026819923371647514,1.7777777777777781,4,1,5
"frozenset({'RECEIVE', 'WAKE_LOCK'})","frozenset({'ACCESS_NETWORK_STATE', 'BILLING', 'INTERNET'})",0.632183908045977,0.9482758620689655,1.0443037974683544,0.026819923371647514,1.7777777777777781,2,3,5
"frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})","frozenset({'BILLING', 'INTERNET'})",0.632183908045977,0.9482758620689655,1.0443037974683544,0.026819923371647514,1.7777777777777781,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.7241379310344828,0.926470588235294,1.060565015479876,0.04135288677500326,1.7195402298850553,3,2,5
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.7241379310344828,0.926470588235294,1.060565015479876,0.04135288677500326,1.7195402298850553,4,1,5
