antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'INTERNET'}),1.0,1.0,1.0,0.0,inf,1,1,2
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
"frozenset({'BILLING', 'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,3,1,4
"frozenset({'BILLING', 'WAKE_LOCK', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,3,1,4
"frozenset({'BILLING', 'WAKE_LOCK'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8735632183908046,1.0,1.0,0.0,inf,2,2,4
frozenset({'INTERNET'}),frozenset({'ACCESS_NETWORK_STATE'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'WAKE_LOCK'}),0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,1,1,2
"frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,2,1,3
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,1,2,3
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,2,1,3
"frozenset({'BILLING', 'WAKE_LOCK'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,1,2,3
"frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8735632183908046,1.0,1.0,0.0,inf,1,2,3
"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,3,1,4
"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WAKE_LOCK'}),0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,3,1,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8735632183908046,1.0,1.0,0.0,inf,3,1,4
"frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,2,2,4
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8735632183908046,1.0,1.0,0.0,inf,2,2,4
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,2,2,4
"frozenset({'BILLING', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8735632183908046,1.0,1.0,0.0,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK', 'INTERNET'})",0.8735632183908046,1.0,1.0481927710843375,0.040163826132910585,inf,1,3,4
"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.9540229885057471,1.0,1.0,0.0,inf,2,1,3
"frozenset({'BILLING', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.9080459770114943,1.0,1.0,0.0,inf,2,1,3
frozenset({'WAKE_LOCK'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.9540229885057471,1.0,1.0,0.0,inf,1,2,3
frozenset({'BILLING'}),frozenset({'INTERNET'}),0.9080459770114943,1.0,1.0,0.0,inf,1,1,2
frozenset({'BILLING'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.9080459770114943,1.0,1.0,0.0,inf,1,2,3
"frozenset({'WAKE_LOCK', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.9540229885057471,1.0,1.0,0.0,inf,2,1,3
frozenset({'WAKE_LOCK'}),frozenset({'INTERNET'}),0.9540229885057471,1.0,1.0,0.0,inf,1,1,2
frozenset({'BILLING'}),frozenset({'ACCESS_NETWORK_STATE'}),0.9080459770114943,1.0,1.0,0.0,inf,1,1,2
"frozenset({'BILLING', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.9080459770114943,1.0,1.0,0.0,inf,2,1,3
frozenset({'WAKE_LOCK'}),frozenset({'ACCESS_NETWORK_STATE'}),0.9540229885057471,1.0,1.0,0.0,inf,1,1,2
"frozenset({'WAKE_LOCK', 'INTERNET'})","frozenset({'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.8735632183908046,0.9156626506024097,1.0481927710843373,0.040163826132910585,1.4991789819376031,2,2,4
