antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.7529411764705882,1.0,1.118421052631579,0.07972318339100337,inf,3,1,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'READ_EXTERNAL_STORAGE'}),0.7529411764705882,0.8421052631578947,1.118421052631579,0.07972318339100337,1.5647058823529407,3,1,4
"frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})","frozenset({'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",0.7529411764705882,1.0,1.118421052631579,0.07972318339100337,inf,2,2,4
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.7529411764705882,0.8421052631578947,1.118421052631579,0.07972318339100337,1.5647058823529407,2,2,4
"frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.7529411764705882,1.0,1.118421052631579,0.07972318339100337,inf,2,2,4
"frozenset({'WRITE_EXTERNAL_STORAGE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})",0.7529411764705882,0.8421052631578947,1.118421052631579,0.07972318339100337,1.5647058823529407,2,2,4
frozenset({'READ_EXTERNAL_STORAGE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",0.7529411764705882,1.0,1.118421052631579,0.07972318339100337,inf,1,3,4
frozenset({'WRITE_EXTERNAL_STORAGE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.7529411764705882,0.8421052631578947,1.118421052631579,0.07972318339100337,1.5647058823529407,1,3,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6588235294117647,0.9180327868852459,1.0267471958584986,0.017162629757785375,1.2917647058823527,3,1,4
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.6588235294117647,0.9180327868852459,1.0267471958584986,0.017162629757785375,1.2917647058823527,2,2,4
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",0.6588235294117647,0.9180327868852459,1.0267471958584986,0.017162629757785375,1.2917647058823527,2,2,4
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",0.6588235294117647,0.9180327868852459,1.0267471958584986,0.017162629757785375,1.2917647058823527,1,3,4
