antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'WAKE_LOCK', 'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'INTERNET'}),0.6385542168674698,1.0,1.0,0.0,inf,5,1,6
"frozenset({'WAKE_LOCK', 'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'RECEIVE', 'INTERNET'})",0.6385542168674698,1.0,1.0246913580246912,0.01538684859921613,inf,4,2,6
"frozenset({'RECEIVE', 'ACCESS_WIFI_STATE', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6024096385542169,1.0,1.0246913580246912,0.01451589490492089,inf,3,3,6
"frozenset({'RECEIVE', 'ACCESS_WIFI_STATE', 'WRITE_EXTERNAL_STORAGE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6024096385542169,1.0,1.0246913580246912,0.01451589490492089,inf,4,2,6
"frozenset({'RECEIVE', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_WIFI_STATE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6024096385542169,1.0,1.0,0.0,inf,4,2,6
"frozenset({'RECEIVE', 'ACCESS_WIFI_STATE', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6024096385542169,1.0,1.0246913580246912,0.01451589490492089,inf,4,2,6
"frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_WIFI_STATE', 'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6024096385542169,1.0,1.0,0.0,inf,5,1,6
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'ACCESS_WIFI_STATE', 'WRITE_EXTERNAL_STORAGE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.6024096385542169,1.0,1.0246913580246912,0.01451589490492089,inf,5,1,6
"frozenset({'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6385542168674698,1.0,1.0375,0.023080272898824195,inf,2,4,6
"frozenset({'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'RECEIVE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6385542168674698,1.0,1.0375,0.023080272898824195,inf,3,3,6
"frozenset({'WAKE_LOCK', 'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6385542168674698,1.0,1.0246913580246912,0.01538684859921613,inf,3,3,6
"frozenset({'ACCESS_WIFI_STATE', 'ACCESS_NETWORK_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'RECEIVE', 'WAKE_LOCK', 'INTERNET'})",0.6385542168674698,1.0,1.0375,0.023080272898824195,inf,3,3,6
"frozenset({'RECEIVE', 'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6385542168674698,1.0,1.0246913580246912,0.01538684859921613,inf,3,3,6
"frozenset({'WAKE_LOCK', 'ACCESS_WIFI_STATE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.6385542168674698,1.0,1.0246913580246912,0.01538684859921613,inf,4,2,6
