antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_WIFI_STATE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'})",0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,1,2,3
frozenset({'ACCESS_WIFI_STATE'}),"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'})",0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,1,3,4
frozenset({'ACCESS_WIFI_STATE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,1,3,4
frozenset({'WRITE_EXTERNAL_STORAGE'}),"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'INTERNET'})",0.6144578313253012,0.85,1.1379032258064516,0.07446654086224413,1.6867469879518073,1,3,4
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,3,1,4
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'ACCESS_WIFI_STATE'}),0.6144578313253012,0.85,1.1379032258064516,0.07446654086224413,1.6867469879518073,1,1,2
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,4,1,5
frozenset({'ACCESS_WIFI_STATE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,1,1,2
"frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'ACCESS_WIFI_STATE'}),0.6144578313253012,0.85,1.1379032258064516,0.07446654086224413,1.6867469879518073,3,1,4
"frozenset({'ACCESS_WIFI_STATE', 'WAKE_LOCK'})","frozenset({'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'})",0.6144578313253012,0.8225806451612904,1.1379032258064516,0.07446654086224413,1.5618838992332973,2,2,4
