antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6206896551724138,0.9818181818181818,1.0812428078250862,0.04663760073986001,5.057471264367814,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.6206896551724138,0.9818181818181818,1.0812428078250862,0.04663760073986001,5.057471264367814,2,3,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",frozenset({'WAKE_LOCK'}),0.6206896551724138,0.9818181818181818,1.0677272727272726,0.039371119038182134,4.425287356321839,4,1,5
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.6206896551724138,0.9818181818181818,1.0677272727272726,0.039371119038182134,4.425287356321839,3,2,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.6206896551724138,0.8059701492537314,1.0624151967435551,0.03646452635751096,1.2440318302387277,4,1,5
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6206896551724138,0.8059701492537314,1.0624151967435551,0.03646452635751096,1.2440318302387277,3,2,5
"frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})","frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6206896551724138,0.8059701492537314,1.0624151967435551,0.03646452635751096,1.2440318302387277,3,2,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})",0.6206896551724138,0.8181818181818182,1.0624151967435551,0.03646452635751096,1.2643678160919547,3,2,5
"frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6206896551724138,0.8059701492537314,1.0624151967435551,0.03646452635751096,1.2440318302387277,2,3,5
"frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.6206896551724138,0.8181818181818182,1.0624151967435551,0.03646452635751096,1.2643678160919547,2,3,5
