antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,1,3,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'RECEIVE'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})","frozenset({'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'RECEIVE'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,3,1,4
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,1,3,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,4,1,5
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,1,1,2
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'RECEIVE'})",0.64,1.0,1.25,0.128,inf,1,2,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,2,1,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,1,2,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,1,2,3
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,1,3,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",frozenset({'RECEIVE'}),0.64,1.0,1.25,0.128,inf,2,1,3
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})","frozenset({'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,3,2,5
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,1,4,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",0.64,1.0,1.25,0.128,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})","frozenset({'WAKE_LOCK', 'RECEIVE'})",0.64,1.0,1.25,0.128,inf,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'RECEIVE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,2,3,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})","frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,1.0,1.25,0.128,inf,2,3,5
"frozenset({'WAKE_LOCK', 'RECEIVE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,2,4
"frozenset({'WAKE_LOCK', 'RECEIVE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,2,5
"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,1,4
frozenset({'RECEIVE'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,1,2
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,2,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,3,4
"frozenset({'WAKE_LOCK', 'RECEIVE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,1,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,3,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,2,3
"frozenset({'WAKE_LOCK', 'RECEIVE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,3,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,1,3
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,2,3
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,3,5
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,2,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,2,4
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'WAKE_LOCK', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,4,5
"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,2,5
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,1,4
"frozenset({'WAKE_LOCK', 'RECEIVE', 'INTERNET'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,3,1,4
frozenset({'RECEIVE'}),"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,1,3,4
"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,4,1,5
"frozenset({'RECEIVE', 'INTERNET'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_NETWORK_STATE'})",0.64,0.7999999999999999,1.2499999999999998,0.128,1.7999999999999994,2,2,4
