antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'INTERNET'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'INTERNET'}),0.974025974025974,1.0,1.0,0.0,inf,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8051948051948052,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'INTERNET'}),0.8441558441558441,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8441558441558441,1.0,1.0,0.0,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'WAKE_LOCK'}),0.8441558441558441,1.0,1.013157894736842,0.010963062911114818,inf,1,1,2
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),frozenset({'RECEIVE'}),0.8441558441558441,1.0,1.0266666666666666,0.021926125822229747,inf,1,1,2
frozenset({'INTERNET'}),frozenset({'ACCESS_NETWORK_STATE'}),1.0,1.0,1.0,0.0,inf,1,1,2
frozenset({'WRITE_EXTERNAL_STORAGE'}),frozenset({'INTERNET'}),0.8051948051948052,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.974025974025974,1.0,1.0,0.0,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'WAKE_LOCK'}),0.974025974025974,1.0,1.013157894736842,0.012649687974363277,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'INTERNET'}),0.987012987012987,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'ACCESS_NETWORK_STATE'}),0.987012987012987,1.0,1.0,0.0,inf,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'RECEIVE'}),0.974025974025974,0.9868421052631579,1.013157894736842,0.012649687974363277,1.9740259740259685,1,1,2
frozenset({'RECEIVE'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.8441558441558441,0.8666666666666666,1.0266666666666666,0.021926125822229747,1.1688311688311686,1,1,2
frozenset({'WAKE_LOCK'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.8441558441558441,0.8552631578947368,1.0131578947368423,0.010963062911114818,1.0767414403778044,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'RECEIVE'}),0.974025974025974,0.974025974025974,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'RECEIVE'}),0.974025974025974,0.974025974025974,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'WAKE_LOCK'}),0.987012987012987,0.987012987012987,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.8441558441558441,0.8441558441558441,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.8441558441558441,0.8441558441558441,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.8051948051948052,0.8051948051948052,1.0,0.0,1.0,1,1,2
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'WAKE_LOCK'}),0.987012987012987,0.987012987012987,1.0,0.0,1.0,1,1,2
frozenset({'INTERNET'}),frozenset({'WRITE_EXTERNAL_STORAGE'}),0.8051948051948052,0.8051948051948052,1.0,0.0,1.0,1,1,2
