antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",frozenset({'READ_EXTERNAL_STORAGE'}),0.6103896103896104,0.8867924528301886,1.3131349782293178,0.14555574295834034,2.8679653679653656,4,1,5
"frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})","frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9038461538461539,1.3131349782293178,0.14555574295834034,3.2415584415584417,3,2,5
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.8867924528301886,1.3131349782293178,0.14555574295834034,2.8679653679653656,3,2,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.8867924528301886,1.3131349782293178,0.14555574295834034,2.8679653679653656,3,2,5
"frozenset({'WAKE_LOCK', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9038461538461539,1.3131349782293178,0.14555574295834034,3.2415584415584417,2,3,5
"frozenset({'INTERNET', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9038461538461539,1.3131349782293178,0.14555574295834034,3.2415584415584417,2,3,5
"frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'INTERNET', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.8867924528301886,1.3131349782293178,0.14555574295834034,2.8679653679653656,2,3,5
frozenset({'READ_EXTERNAL_STORAGE'}),"frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9038461538461539,1.3131349782293178,0.14555574295834034,3.2415584415584417,1,4,5
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.6103896103896104,0.9791666666666666,1.2359972677595628,0.11654579187046715,9.974025974025954,3,2,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.7704918032786885,1.2359972677595628,0.11654579187046715,1.6410018552875694,3,2,5
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",0.6103896103896104,0.9791666666666666,1.2359972677595628,0.11654579187046715,9.974025974025954,2,3,5
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.7704918032786885,1.2359972677595628,0.11654579187046715,1.6410018552875694,2,3,5
"frozenset({'WAKE_LOCK', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",frozenset({'WRITE_EXTERNAL_STORAGE'}),0.6103896103896104,0.9791666666666666,1.216061827956989,0.10844999156687463,9.350649350649332,4,1,5
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",0.6103896103896104,0.9791666666666666,1.216061827956989,0.10844999156687463,9.350649350649332,3,2,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.7580645161290321,1.216061827956989,0.10844999156687463,1.556709956709956,2,3,5
frozenset({'WRITE_EXTERNAL_STORAGE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",0.6103896103896104,0.7580645161290321,1.216061827956989,0.10844999156687463,1.556709956709956,1,4,5
"frozenset({'INTERNET', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.6103896103896104,0.9215686274509803,1.0917043740573151,0.05127340192275254,1.9870129870129862,4,1,5
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})","frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9215686274509803,1.0917043740573151,0.05127340192275254,1.9870129870129862,3,2,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9215686274509803,1.0917043740573151,0.05127340192275254,1.9870129870129862,3,2,5
"frozenset({'WRITE_EXTERNAL_STORAGE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6103896103896104,0.9215686274509803,1.0917043740573151,0.05127340192275254,1.9870129870129862,2,3,5
"frozenset({'INTERNET', 'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})",frozenset({'WAKE_LOCK'}),0.6103896103896104,1.0,1.013157894736842,0.007927137797267725,inf,4,1,5
"frozenset({'WRITE_EXTERNAL_STORAGE', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'READ_EXTERNAL_STORAGE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6103896103896104,1.0,1.013157894736842,0.007927137797267725,inf,3,2,5
