antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.8974358974358975,1.0,1.0129870129870129,0.011505588428665336,inf,3,1,4
"frozenset({'WAKE_LOCK', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7948717948717948,1.0,1.0129870129870129,0.010190664036817898,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,3,1,4
"frozenset({'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.6538461538461539,1.0,1.0129870129870129,0.0083826429980276,inf,3,1,4
"frozenset({'ACCESS_FINE_LOCATION', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6538461538461539,1.0,1.0129870129870129,0.0083826429980276,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,3,1,4
"frozenset({'ACCESS_COARSE_LOCATION', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'INTERNET'}),0.717948717948718,1.0,1.0129870129870129,0.009204470742932291,inf,3,1,4
"frozenset({'ACCESS_FINE_LOCATION', 'WRITE_EXTERNAL_STORAGE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.6538461538461539,1.0,1.0129870129870129,0.0083826429980276,inf,2,2,4
"frozenset({'WRITE_EXTERNAL_STORAGE', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,3,1,4
"frozenset({'WRITE_EXTERNAL_STORAGE', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'INTERNET'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,3,1,4
"frozenset({'ACCESS_COARSE_LOCATION', 'RECEIVE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7307692307692307,1.0,1.0129870129870129,0.009368836291913207,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7051282051282052,1.0,1.0129870129870129,0.009040105193951264,inf,2,2,4
"frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,3,1,4
"frozenset({'ACCESS_COARSE_LOCATION', 'WAKE_LOCK', 'ACCESS_FINE_LOCATION'})",frozenset({'INTERNET'}),0.717948717948718,1.0,1.0129870129870129,0.009204470742932291,inf,3,1,4
"frozenset({'ACCESS_COARSE_LOCATION', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.7307692307692307,1.0,1.0129870129870129,0.009368836291913207,inf,3,1,4
"frozenset({'ACCESS_WIFI_STATE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.6410256410256411,1.0,1.0684931506849316,0.041091387245233424,inf,3,1,4
"frozenset({'ACCESS_WIFI_STATE', 'RECEIVE'})","frozenset({'WAKE_LOCK', 'ACCESS_NETWORK_STATE'})",0.6410256410256411,1.0,1.0684931506849316,0.041091387245233424,inf,2,2,4
"frozenset({'ACCESS_COARSE_LOCATION', 'ACCESS_FINE_LOCATION'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.7692307692307693,1.0,1.0129870129870129,0.009861932938855955,inf,2,2,4
"frozenset({'ACCESS_COARSE_LOCATION', 'ACCESS_FINE_LOCATION', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7692307692307693,1.0,1.0129870129870129,0.009861932938855955,inf,3,1,4
"frozenset({'ACCESS_COARSE_LOCATION', 'ACCESS_FINE_LOCATION', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.7692307692307693,1.0,1.0129870129870129,0.009861932938855955,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.7051282051282052,1.0,1.0129870129870129,0.009040105193951264,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.7051282051282052,1.0,1.0129870129870129,0.009040105193951264,inf,3,1,4
"frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION'})","frozenset({'WAKE_LOCK', 'RECEIVE'})",0.6153846153846154,1.0,1.1142857142857143,0.06311637080867849,inf,2,2,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'RECEIVE', 'ACCESS_FINE_LOCATION'})",frozenset({'WAKE_LOCK'}),0.6153846153846154,1.0,1.0684931506849316,0.03944773175542404,inf,3,1,4
