antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
"frozenset({'INTERNET', 'ACCESS_FINE_LOCATION'})","frozenset({'WAKE_LOCK', 'ACCESS_COARSE_LOCATION'})",0.717948717948718,0.8358208955223881,1.1437549096622155,0.09023668639053262,1.639860139860141,2,2,4
frozenset({'ACCESS_FINE_LOCATION'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_COARSE_LOCATION'})",0.717948717948718,0.8358208955223881,1.1437549096622155,0.09023668639053262,1.639860139860141,1,3,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_COARSE_LOCATION'})",frozenset({'ACCESS_FINE_LOCATION'}),0.717948717948718,0.9824561403508772,1.1437549096622153,0.09023668639053262,8.038461538461567,3,1,4
"frozenset({'WAKE_LOCK', 'ACCESS_COARSE_LOCATION'})","frozenset({'INTERNET', 'ACCESS_FINE_LOCATION'})",0.717948717948718,0.9824561403508772,1.1437549096622153,0.09023668639053262,8.038461538461567,2,2,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_FINE_LOCATION'})",frozenset({'ACCESS_COARSE_LOCATION'}),0.717948717948718,0.8888888888888888,1.1366120218579234,0.08629191321499008,1.9615384615384608,3,1,4
"frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION'})","frozenset({'INTERNET', 'ACCESS_COARSE_LOCATION'})",0.717948717948718,0.8888888888888888,1.1366120218579234,0.08629191321499008,1.9615384615384608,2,2,4
"frozenset({'INTERNET', 'ACCESS_COARSE_LOCATION'})","frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION'})",0.717948717948718,0.9180327868852459,1.1366120218579234,0.08629191321499008,2.3461538461538467,2,2,4
frozenset({'ACCESS_COARSE_LOCATION'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_FINE_LOCATION'})",0.717948717948718,0.9180327868852459,1.1366120218579234,0.08629191321499008,2.3461538461538467,1,3,4
"frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION', 'ACCESS_COARSE_LOCATION'})",frozenset({'INTERNET'}),0.717948717948718,1.0,1.0129870129870129,0.009204470742932291,inf,3,1,4
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION'})",frozenset({'WAKE_LOCK'}),0.6153846153846154,1.0,1.0684931506849316,0.03944773175542404,inf,3,1,4
"frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.6153846153846154,1.0,1.0684931506849316,0.03944773175542404,inf,2,2,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_FINE_LOCATION'})",frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),0.6153846153846154,0.761904761904762,1.0612244897959184,0.03550295857988173,1.1846153846153848,3,1,4
"frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})","frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION'})",0.6153846153846154,0.8571428571428572,1.0612244897959184,0.03550295857988173,1.3461538461538467,2,2,4
"frozenset({'WAKE_LOCK', 'ACCESS_FINE_LOCATION'})","frozenset({'INTERNET', 'BIND_GET_INSTALL_REFERRER_SERVICE'})",0.6153846153846154,0.761904761904762,1.0612244897959184,0.03550295857988173,1.1846153846153848,2,2,4
frozenset({'BIND_GET_INSTALL_REFERRER_SERVICE'}),"frozenset({'WAKE_LOCK', 'INTERNET', 'ACCESS_FINE_LOCATION'})",0.6153846153846154,0.8571428571428572,1.0612244897959184,0.03550295857988173,1.3461538461538467,1,3,4
"frozenset({'WAKE_LOCK', 'BIND_GET_INSTALL_REFERRER_SERVICE', 'ACCESS_FINE_LOCATION'})",frozenset({'INTERNET'}),0.6153846153846154,1.0,1.0129870129870129,0.007889546351084742,inf,3,1,4
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE', 'ACCESS_FINE_LOCATION'})",frozenset({'INTERNET'}),0.6025641025641025,1.0,1.0129870129870129,0.007725180802103826,inf,3,1,4
