antecedents,consequents,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,combo_len
frozenset({'ACCESS_NETWORK_STATE'}),frozenset({'INTERNET'}),0.9886363636363636,1.0,1.0,0.0,inf,1,1,2
"frozenset({'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.9318181818181818,1.0,1.0114942528735633,0.01058884297520657,inf,2,1,3
"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'INTERNET'}),0.9318181818181818,1.0,1.0,0.0,inf,3,1,4
"frozenset({'WAKE_LOCK', 'INTERNET', 'WRITE_EXTERNAL_STORAGE'})",frozenset({'ACCESS_NETWORK_STATE'}),0.9318181818181818,1.0,1.0114942528735633,0.01058884297520657,inf,3,1,4
frozenset({'RECEIVE'}),frozenset({'WAKE_LOCK'}),0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'ACCESS_NETWORK_STATE'}),0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,1,1,2
frozenset({'RECEIVE'}),frozenset({'INTERNET'}),0.8068181818181818,1.0,1.0,0.0,inf,1,1,2
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'WAKE_LOCK'}),0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,2,1,3
"frozenset({'RECEIVE', 'WAKE_LOCK'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,2,1,3
frozenset({'RECEIVE'}),"frozenset({'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,1,2,3
"frozenset({'RECEIVE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8068181818181818,1.0,1.0,0.0,inf,2,1,3
"frozenset({'RECEIVE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,2,1,3
frozenset({'RECEIVE'}),"frozenset({'WAKE_LOCK', 'INTERNET'})",0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,1,2,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})",frozenset({'INTERNET'}),0.8068181818181818,1.0,1.0,0.0,inf,2,1,3
"frozenset({'RECEIVE', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,2,1,3
frozenset({'RECEIVE'}),"frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,1,2,3
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'WAKE_LOCK'})",frozenset({'INTERNET'}),0.8068181818181818,1.0,1.0,0.0,inf,3,1,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE', 'INTERNET'})",frozenset({'WAKE_LOCK'}),0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,3,1,4
"frozenset({'RECEIVE', 'WAKE_LOCK', 'INTERNET'})",frozenset({'ACCESS_NETWORK_STATE'}),0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,3,1,4
"frozenset({'RECEIVE', 'ACCESS_NETWORK_STATE'})","frozenset({'WAKE_LOCK', 'INTERNET'})",0.8068181818181818,1.0,1.0352941176470587,0.027505165289256173,inf,2,2,4
"frozenset({'RECEIVE', 'WAKE_LOCK'})","frozenset({'ACCESS_NETWORK_STATE', 'INTERNET'})",0.8068181818181818,1.0,1.0114942528735633,0.009168388429752095,inf,2,2,4
